route,model,block,games,macro_season_brier,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M_rankings,hist,cap_32,334,0.19670569661571516,0.1965963432003798,0.573832754291444,0.7776515151515152,0.7485690651239401,0.6296296296296297,0.7727272727272727,0.6938775510204082,0.08331538103911032
M_rankings,hist,cap_64,334,0.1913928491224808,0.19132098070234718,0.5607671262723005,0.7903679653679654,0.7658538208748034,0.6408839779005525,0.7532467532467533,0.6925373134328359,0.08099398363610572
M_rankings,hist,nested,334,0.19670569661571516,0.1965963432003798,0.573832754291444,0.7776515151515152,0.7485690651239401,0.6296296296296297,0.7727272727272727,0.6938775510204082,0.08331538103911032
M_rankings,logistic,cap_128,334,0.20774247306556926,0.20770407205180397,0.6264795179675803,0.7765151515151515,0.7466634074774243,0.6264367816091954,0.7077922077922078,0.6646341463414634,0.13600296671490772
M_rankings,logistic,cap_256,334,0.23523400802070366,0.2352565393455315,0.7960546429801634,0.7443362193362194,0.6851966234767751,0.6206896551724138,0.7012987012987013,0.6585365853658537,0.17470865774782915
M_rankings,logistic,cap_32,334,0.19209521767793658,0.1920322957740866,0.5618791637581899,0.7835497835497834,0.7609155458988555,0.6444444444444445,0.7532467532467533,0.6946107784431138,0.06291413944246396
M_rankings,logistic,cap_64,334,0.20343468803998027,0.20334738641676584,0.5895696151549569,0.7668109668109668,0.7401920190457485,0.6081871345029239,0.6753246753246753,0.64,0.12037283275483898
M_rankings,logistic,nested,334,0.19209521767793658,0.1920322957740866,0.5618791637581899,0.7835497835497834,0.7609155458988555,0.6444444444444445,0.7532467532467533,0.6946107784431138,0.06291413944246396
W_common,hist,cap_128,315,0.1671728618366006,0.16717286183660063,0.5051108916175797,0.8398774490042732,0.8259773739222731,0.7421383647798742,0.7515923566878981,0.7468354430379747,0.08030057639253786
W_common,hist,cap_256,315,0.16603210547008376,0.16603210547008374,0.5008049930361648,0.8418930903813593,0.8265028602926959,0.7333333333333333,0.7707006369426752,0.7515527950310559,0.07860655543603831
W_common,hist,cap_32,315,0.1674922342539818,0.1674922342539818,0.5037149780487914,0.8420744981052972,0.828755764176986,0.740506329113924,0.7452229299363057,0.7428571428571429,0.09341373152753228
W_common,hist,cap_64,315,0.16343189643816683,0.16343189643816683,0.49572523486633546,0.8461259372732404,0.835919595393899,0.7484276729559748,0.7579617834394905,0.7531645569620253,0.07358802608659758
W_common,hist,nested,315,0.16707734406759628,0.16707734406759628,0.5047955462915817,0.841086833830525,0.8300370369504341,0.7484276729559748,0.7579617834394905,0.7531645569620253,0.076593846090497
W_common,logistic,cap_128,315,0.1715606090863473,0.17156060908634727,0.53687471731475,0.8380633717648956,0.8316856169888216,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.09807091019441652
W_common,logistic,cap_256,315,0.17876090676697398,0.17876090676697398,0.5935472471934545,0.8364911714907682,0.82567332946307,0.7361963190184049,0.7643312101910829,0.75,0.13171759669234515
W_common,logistic,cap_32,315,0.15761049408133954,0.15761049408133954,0.47320684425054815,0.8563653954688382,0.8509012287253653,0.7425149700598802,0.7898089171974523,0.7654320987654321,0.08726994820086702
W_common,logistic,cap_64,315,0.15953085227627845,0.15953085227627842,0.4858390373633845,0.8497137789244539,0.8369897499681187,0.7425149700598802,0.7898089171974523,0.7654320987654321,0.0854948426153541
W_common,logistic,nested,315,0.16471095201225572,0.16471095201225572,0.503893637396554,0.8448762396194468,0.8322371425865872,0.7409638554216867,0.7834394904458599,0.7616099071207431,0.0835295497969695
