Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__rating__bt_c0p25_percentile,global_strength_ratings,0.0,1095,790,0.4511172070932535,0.45465038013858666,1.0,1.0,0.08697703131795537,0.5739988867743191,False,True,True,66.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team1_seed,matchup_context,0.0,1095,16,-0.4718483815498091,0.4497816629399774,1.0,1.0,0.15262370112368795,0.5735968941071996,False,True,True,7.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,1095,1095,0.43788311679018466,0.45175976256762757,1.0,1.0,0.0797138483868629,0.5699904177908273,False,True,True,39.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_percentile,conference_context,0.0,1095,118,0.437537385806959,0.45405613577692755,1.0,1.0,0.1330638278509249,0.5688826169364192,False,True,True,108.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__upside_tail_mean,compact_performance,0.0,1095,1080,0.446167445712008,0.45037627065183017,1.0,1.0,0.1525889256795715,0.5682338909423373,False,True,True,40.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__pagerank_binary,global_strength_ratings,0.0,1095,1095,0.3960799253687541,0.46894583806474777,1.0,1.0,0.1199112362221108,0.5674351364033203,False,True,True,67.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q90,compact_performance,0.0,1095,405,0.43516344138065277,0.45520601534700805,1.0,1.0,0.18180435466434436,0.5669626702837337,False,True,True,41.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,1095,2,0.45017178231777655,0.4466903994101174,1.0,1.0,0.18196702144188676,0.5661705029690917,False,True,True,8.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,1095,777,0.43086487086543057,0.44448217302800735,1.0,1.0,0.08753184557229393,0.5646404408209464,False,True,True,25.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_median,schedule_and_accomplishment,0.0,1095,1087,0.42961028264733736,0.4471807598932178,1.0,1.0,0.15455766607441407,0.5629787202881822,False,True,True,81.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,1095,1095,0.44968559063093216,0.4347272496545333,1.0,1.0,0.15765634422326752,0.5612936560040503,False,True,True,26.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,0.0,1095,769,0.4222353240116301,0.44035555164566736,1.0,1.0,0.07509161287733157,0.5612587715573857,False,True,True,99.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_pct_mean,schedule_and_accomplishment,0.0,1095,1095,0.44716929540085526,0.4277455656141968,1.0,1.0,0.13350879651194492,0.5583547646225249,False,True,True,82.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_mean,conference_context,0.0,1095,941,0.4276425541454176,0.43574707725451367,1.0,1.0,0.13720007157672243,0.5577519561310895,False,True,True,109.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__top_quartile_games,schedule_and_accomplishment,0.0,1095,45,0.44803271682941126,0.4259002540230172,1.0,1.0,0.14077986421828376,0.5573681250647873,False,True,True,83.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,1095,1095,-0.4305183699969064,0.43026498005435715,1.0,1.0,0.1924291199460882,0.5535440670275673,False,True,True,27.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_mean,schedule_and_accomplishment,0.0,1095,1095,0.4489127332932862,0.4164538569624381,1.0,1.0,0.1638134813284961,0.5521061134133534,False,True,True,84.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,1095,174,0.4215791062610294,0.4280621552755231,1.0,1.0,0.1670995120383112,0.5515332574281452,False,True,True,42.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,1095,382,0.4210925479170143,0.4203262077827204,1.0,1.0,0.11355496229638795,0.5498547417855933,False,True,True,43.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__seed__top8,selection_committee_prior,0.0,1095,3,0.43428345637582016,0.4159028407875726,1.0,1.0,0.15440873041191217,0.5489993747642388,False,True,True,76.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,1095,1095,0.4407062676632491,0.4106850008670808,1.0,1.0,0.1666736681705976,0.5474172325752897,False,True,True,100.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.012785388127853882,1081,1058,0.4291019293341076,0.41486294433255977,1.0,1.0,0.16054756761652061,0.5460919039782433,False,True,True,44.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__pythag_exp13p91,compact_performance,0.0,1095,1095,0.4124933090308663,0.40976025195919974,1.0,1.0,0.06930343163493835,0.544661311661809,False,True,True,45.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__wins,compact_performance,0.0,1095,35,0.4010724213938417,0.4162611652537803,1.0,1.0,0.09655617187737425,0.5441790451533648,False,True,True,46.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team2_seed,matchup_context,0.0,1095,16,0.3853321165530371,0.423844609929689,1.0,1.0,0.106297245436204,0.5439665885904706,False,True,True,9.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__detailed__all__fourfactoredge_mean,detailed_efficiency,0.0,1095,1095,0.41317211831247275,0.41109873754843257,1.0,1.0,0.11802543492750767,0.5435042426548913,False,True,True,117.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_median,compact_performance,0.0,1095,91,0.38606540954390384,0.42504640301276414,1.0,1.0,0.1440022516549997,0.5431965734795856,False,True,True,47.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_median,conference_context,0.0,1095,941,0.39615724461926327,0.4153304156689793,1.0,1.0,0.1028607519675998,0.5423987632586439,False,True,True,110.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__elite_wins,schedule_and_accomplishment,0.0,1095,27,0.428549467643581,0.39959499359451045,1.0,1.0,0.1249778836585852,0.5410873644606093,False,True,True,85.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,1095,1095,0.3988646542297935,0.4109847195331982,1.0,1.0,0.12986559384405816,0.5398282655527273,False,True,True,28.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__owp,schedule_and_accomplishment,0.0,1095,1095,0.4130783834829923,0.40009613792531534,1.0,1.0,0.12502549794314166,0.537922370652684,False,True,True,86.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__blowout_win10_rate,compact_performance,0.0,1095,833,0.3887899942492894,0.40594279947394163,1.0,1.0,0.18372935863239587,0.5330371681370398,False,True,True,48.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__ewm_h20_margin,compact_performance,0.0,1095,1095,0.37419405744288525,0.3998627040554468,1.0,1.0,0.12469367790808578,0.5292690434677257,False,True,True,49.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__blowout_win20_rate,compact_performance,0.0,1095,869,0.41059423765517616,0.3812739770066258,1.0,1.0,0.14093968027564474,0.5277046540362933,False,True,True,50.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_standard_preseason,dynamic_ratings,0.0,1095,1095,0.4154282584281893,0.38246486243753036,1.0,1.0,0.20619399750798162,0.526729590923897,False,True,True,101.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__win_pct,compact_performance,0.0,1095,819,0.366857803901002,0.39499094081992053,1.0,1.0,0.1470137549729031,0.5244238182528662,False,True,True,51.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__ewm_h10_margin,compact_performance,0.0,1095,1095,0.35737857281244106,0.3939156521842176,1.0,1.0,0.2079625997381674,0.5193842950776347,False,True,True,52.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__detailed__clean__offrtg_median,detailed_efficiency,0.0,1095,1095,0.3471125428692119,0.39400590587488005,1.0,1.0,0.157728107289469,0.5191784699595903,False,True,True,118.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__top_decile_games,schedule_and_accomplishment,0.0,1095,32,0.366767334506947,0.3878775374361052,1.0,1.0,0.1957839490404527,0.5190386735992406,False,True,True,87.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q25,compact_performance,0.0,1095,178,0.36826631699489565,0.38396491829656726,1.0,1.0,0.17361480000774276,0.5183771585209196,False,True,True,53.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__detailed__ewm_h20__fourfactoredge,detailed_efficiency,0.0,1095,1095,0.35144698473869407,0.38860877765220414,1.0,1.0,0.14932840973923073,0.5178774135260015,False,True,True,119.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__detailed__all__fourfactoredge_median,detailed_efficiency,0.0,1095,1095,0.3592852322401846,0.3818041395127418,1.0,1.0,0.1677330243311032,0.5155994170857124,False,True,True,120.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_slope,compact_performance,0.0,1095,1094,-0.36387095897491173,0.3679947589404697,1.0,1.0,0.09930092963560122,0.512717058080482,False,True,True,54.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__half_pointsformean_first,compact_performance,0.0,1095,975,0.37985791865549834,0.3647078219364894,1.0,1.0,0.16710594098577203,0.5119442589942935,False,True,True,55.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__downside_tail_mean,compact_performance,0.0,1095,1033,-0.35832815900053044,0.3665214661177476,1.0,1.0,0.1146795999185789,0.5101753147198924,False,True,True,56.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__half_delta_marginmean,compact_performance,0.0,1095,1075,-0.35105792406371594,0.36526148049645835,1.0,1.0,0.06427880649958567,0.5099871016723341,False,True,True,57.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q10,compact_performance,0.0,1095,353,0.3438817358522567,0.3682997662521145,1.0,1.0,0.1742303194480479,0.5054686569105895,False,True,True,58.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__blowout_loss10_rate,compact_performance,0.0,1095,630,-0.32536547269953403,0.36292779089577837,1.0,1.0,0.13887612569557822,0.500230698596048,False,True,True,59.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__bad_losses,schedule_and_accomplishment,0.0,1095,13,-0.3149036816726408,0.3509664885977757,1.0,1.0,0.0693223384450839,0.49496983095710995,False,True,True,88.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,1095,1095,-0.3539984840296013,0.33215929917057546,1.0,1.0,0.1571516291974963,0.4910300649204886,False,True,True,29.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__away_games,compact_performance,0.0,1095,19,-0.3362819271109753,0.3280893574623933,1.0,1.0,0.0710721973502953,0.48862202765235146,False,True,True,60.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__away_margin_mean,compact_performance,0.0,1095,1042,0.32676634367325225,0.32555173678371124,1.0,1.0,0.17029697272504962,0.48134155035529486,False,True,True,61.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__team_count,conference_context,0.0,1095,17,0.22092321806134435,0.22843596288371326,1.0,1.0,0.08826268587052855,0.414721862722857,False,True,True,111.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_mov_log_delta,dynamic_ratings,0.0,1095,1095,0.2013306082005414,0.22425613401135552,1.0,1.0,0.1024037654147898,0.4078395275129782,False,True,True,102.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_standard_delta,dynamic_ratings,0.0,1095,1095,0.22531058228566703,0.2139781786793908,1.0,1.0,0.1386916824167385,0.40673018657228477,False,True,True,103.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_std,conference_context,0.0,1095,941,0.21092823146795925,0.21051040684984215,0.7647058823529411,1.0,0.19830812897522526,0.36186982222833686,False,True,True,112.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_std,schedule_and_accomplishment,0.0,1095,1095,0.20222917177146113,0.2037306455904915,0.7647058823529411,1.0,0.14711176219089445,0.3587495983619921,False,True,True,89.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__tourney_last_day,conference_context,0.019178082191780823,1074,18,0.09312792275307345,0.2696596266276231,0.5294117647058824,1.0,0.31220365491095836,0.3206082533680957,False,True,True,113.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__seed__playin,selection_committee_prior,0.0,1095,3,-0.07810306504069588,0.11468185313135519,0.8333333333333334,1.0,0.1341246360271594,0.30019831170425054,False,True,True,77.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
absdiff__conference__strength_std,conference_context,0.0,1095,844,0.11358056850307624,0.11744891527196656,0.6470588235294118,1.0,0.135285022455609,0.2794812152677023,False,True,True,114.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
seedprior__favorite_seed_games,prequential_seed_priors,0.0,1095,118,0.027387414820389835,0.06995876368789308,0.7647058823529411,1.0,0.07403847813263069,0.2589968398818398,False,True,True,69.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__tourney_champion,conference_context,0.019178082191780823,1074,3,-0.13348090109473384,0.1100894397784508,0.5294117647058824,1.0,0.18237338063257544,0.25808542988679356,False,True,True,115.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
absdiff__schedule__opponent_strength_median,schedule_and_accomplishment,0.0,1095,1084,-0.011656809411214256,0.14992839120116602,0.5294117647058824,1.0,0.1401014068992618,0.25363195192399746,False,True,True,90.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
absdiff__schedule__elite_wins,schedule_and_accomplishment,0.0,1095,16,0.05535669378499809,0.06792826216160186,0.625,1.0,0.08147168966992302,0.24152517088347158,False,True,True,91.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
