Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,StreamID
absdiff__detailed__all__oppftmaderate_median,detailed_efficiency,0.0,961,947,0.0854393202253193,0.0961528090491687,0.7333333333333333,1.0,0.1428792199609029,0.2765681633280684,False,False,False,,below_bounded_prescreen,W_fallback
diff__compact__ewm_h5_win,compact_performance,0.0,961,961,0.0690666068472669,0.0964156565463655,0.7333333333333333,1.0,0.0584466404763231,0.2764696363629346,False,False,False,,below_bounded_prescreen,W_fallback
mean__prior__program_tournament_games,prior_program_history,0.0,961,156,0.0710358758519177,0.1034410433173398,0.7333333333333333,1.0,0.1591174487747226,0.2762482288620894,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__defrtg_std,detailed_efficiency,0.0,961,961,-0.0798828349344471,0.1436311012951663,0.6,1.0,0.1592572411346765,0.2761468626618711,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__defrtg_std,detailed_efficiency,0.0,961,961,-0.0770866753728071,0.1439340151518534,0.6,1.0,0.1536307215829991,0.2759021669915872,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__schedule__opponent_strength_mean,schedule_and_accomplishment,0.0,961,961,-0.0782142455395733,0.1384895394541606,0.6,1.0,0.1260115028029383,0.2746416528445857,False,True,False,,correlation_pruned_or_cap,W_fallback
diff__compact__last20_games,compact_performance,0.0,961,8,0.0655819636280956,0.0,1.0,1.0,0.0,0.274428031998181,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__last20__games,detailed_efficiency,0.0,961,8,0.0655819636280956,0.0,1.0,1.0,0.0,0.274428031998181,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.0,961,961,-0.0737067709692982,0.1384895412215626,0.6,1.0,0.1260114993602898,0.2736500094251841,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__ewm_h5__oppefg,detailed_efficiency,0.0,961,961,-0.0829594532831173,0.1329925497322253,0.6,1.0,0.12474344897886,0.2730977656345996,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__oppassistturnoverratio_mean,detailed_efficiency,0.0,961,961,-0.0853125152941912,0.1308723663821076,0.6,1.0,0.1330103240990638,0.2722670762641712,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,961,961,0.1119726315066573,0.1717332219569824,0.4666666666666667,1.0,0.2413519142355027,0.2720785155680628,False,True,True,13.0,selected,W_fallback
absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,961,961,0.088663536800166,0.175693389723214,0.4666666666666667,1.0,0.1967918011381291,0.2706337997843208,False,True,True,14.0,selected,W_fallback
absdiff__detailed__ewm_h5__efg,detailed_efficiency,0.0,961,961,0.0995129290848153,0.121708501242131,0.6,1.0,0.1471486745190779,0.2704269780141191,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__last20__off_rtg_mean,detailed_efficiency,0.0,961,961,0.0809615595123605,0.1273129474242701,0.6,1.0,0.119806552636013,0.2701294957509284,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__opp_ft_rate_ros,detailed_efficiency,0.0,961,961,0.1128343883312465,0.1124371260181918,0.6,1.0,0.1253771107823391,0.2697783014903128,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__opp_ft_rate_ros,detailed_efficiency,0.0,961,961,0.1105560357485172,0.1105501319708681,0.6,1.0,0.1301483417627992,0.2681804575401785,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__oppftmaderate_mean,detailed_efficiency,0.0,961,961,0.0991021412765498,0.1145726177790849,0.6,1.0,0.1191496224829962,0.2680313427154818,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__oppassistturnoverratio_mean,detailed_efficiency,0.0,961,961,-0.0844485318932184,0.1220990127285357,0.6,1.0,0.1336808118394865,0.2678389706526257,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__ewm_h20__oppefg,detailed_efficiency,0.0,961,961,0.104655869550978,0.1137598181562271,0.6,1.0,0.145942889146638,0.2677912884503386,False,False,False,,below_bounded_prescreen,W_fallback
interaction__turnover_pressure_edge,matchup_interactions,0.0,961,961,0.1337783165200254,0.096859219709747,0.6,1.0,0.1193188339630439,0.2671509017365625,False,False,False,,below_bounded_prescreen,W_fallback
