Shrinkage,ClipFloor,MacroSeasonBrier,WorstSeasonBrier,IdentityDistance,OneSEThreshold,WithinOneSE,Selected,StreamID
0.9,0.005,0.18007589309322122,0.206066746029645,0.10999999999999997,0.19327750574980485,True,False,M_challenger
0.9,0.01,0.18007589309322122,0.206066746029645,0.11999999999999998,0.19327750574980485,True,False,M_challenger
0.9,0.02,0.18007589309322122,0.206066746029645,0.13999999999999999,0.19327750574980485,True,False,M_challenger
0.9,0.025,0.18007589309322122,0.206066746029645,0.14999999999999997,0.19327750574980485,True,False,M_challenger
0.9,0.05,0.18007589309322122,0.206066746029645,0.19999999999999998,0.19327750574980485,True,False,M_challenger
0.95,1e-06,0.18016331303905514,0.20763289414662126,0.050002000000000046,0.19327750574980485,True,False,M_challenger
0.95,0.0025,0.18016331303905514,0.20763289414662126,0.05500000000000004,0.19327750574980485,True,False,M_challenger
0.95,0.005,0.18016331303905514,0.20763289414662126,0.060000000000000046,0.19327750574980485,True,False,M_challenger
0.95,0.01,0.18016331303905514,0.20763289414662126,0.07000000000000005,0.19327750574980485,True,False,M_challenger
0.95,0.02,0.18016331303905514,0.20763289414662126,0.09000000000000005,0.19327750574980485,True,False,M_challenger
0.95,0.025,0.18016331303905514,0.20763289414662126,0.10000000000000005,0.19327750574980485,True,False,M_challenger
0.85,1e-06,0.18040658815283636,0.20492237522305426,0.15000200000000002,0.19327750574980485,True,False,M_challenger
0.85,0.0025,0.18040658815283636,0.20492237522305426,0.15500000000000003,0.19327750574980485,True,False,M_challenger
0.85,0.005,0.18040658815283636,0.20492237522305426,0.16000000000000003,0.19327750574980485,True,False,M_challenger
0.85,0.01,0.18040658815283636,0.20492237522305426,0.17,0.19327750574980485,True,False,M_challenger
0.85,0.02,0.18040658815283636,0.20492237522305426,0.19000000000000003,0.19327750574980485,True,False,M_challenger
0.85,0.025,0.18040658815283636,0.20492237522305426,0.2,0.19327750574980485,True,False,M_challenger
0.85,0.05,0.18040658815283636,0.20492237522305426,0.25,0.19327750574980485,True,False,M_challenger
1.0,0.05,0.18042805351038843,0.20882527274080748,0.1,0.19327750574980485,True,False,M_challenger
1.0,0.025,0.18053961892401682,0.20936533977173444,0.05,0.19327750574980485,True,False,M_challenger
1.0,0.02,0.1805887555870997,0.20949904160221877,0.04,0.19327750574980485,True,False,M_challenger
1.0,1e-06,0.1806688479903381,0.20962081957398307,2e-06,0.19327750574980485,True,True,M_challenger
1.0,0.0025,0.1806688479903381,0.20962081957398307,0.005,0.19327750574980485,True,False,M_challenger
1.0,0.005,0.1806688479903381,0.20962081957398307,0.01,0.19327750574980485,True,False,M_challenger
1.0,0.01,0.1806688479903381,0.20962081957398307,0.02,0.19327750574980485,True,False,M_challenger
0.8,1e-06,0.18115539821790055,0.20419978172684913,0.20000199999999996,0.19327750574980485,True,False,M_challenger
0.8,0.0025,0.18115539821790055,0.20419978172684913,0.20499999999999996,0.19327750574980485,True,False,M_challenger
0.8,0.005,0.18115539821790055,0.20419978172684913,0.20999999999999996,0.19327750574980485,True,False,M_challenger
0.8,0.01,0.18115539821790055,0.20419978172684913,0.21999999999999995,0.19327750574980485,True,False,M_challenger
0.8,0.02,0.18115539821790055,0.20419978172684913,0.23999999999999996,0.19327750574980485,True,False,M_challenger
0.8,0.025,0.18115539821790055,0.20419978172684913,0.24999999999999994,0.19327750574980485,True,False,M_challenger
0.8,0.05,0.18115539821790055,0.20419978172684913,0.29999999999999993,0.19327750574980485,True,False,M_challenger
1.0,1e-06,0.15297833079837614,0.16743009853356736,2e-06,0.1584689836849046,True,True,W_primary
1.0,0.0025,0.15297833079837614,0.16743009853356736,0.005,0.1584689836849046,True,False,W_primary
1.0,0.005,0.15297833079837614,0.16743009853356736,0.01,0.1584689836849046,True,False,W_primary
1.0,0.01,0.15297833079837614,0.16743009853356736,0.02,0.1584689836849046,True,False,W_primary
1.0,0.02,0.15297833079837614,0.16743009853356736,0.04,0.1584689836849046,True,False,W_primary
1.0,0.025,0.15297833079837614,0.16743009853356736,0.05,0.1584689836849046,True,False,W_primary
1.0,0.05,0.15298049266452593,0.16743009853356736,0.1,0.1584689836849046,True,False,W_primary
0.95,1e-06,0.154410684238981,0.16813743242723117,0.050002000000000046,0.1584689836849046,True,False,W_primary
0.95,0.0025,0.154410684238981,0.16813743242723117,0.05500000000000004,0.1584689836849046,True,False,W_primary
0.95,0.005,0.154410684238981,0.16813743242723117,0.060000000000000046,0.1584689836849046,True,False,W_primary
0.95,0.01,0.154410684238981,0.16813743242723117,0.07000000000000005,0.1584689836849046,True,False,W_primary
0.95,0.02,0.154410684238981,0.16813743242723117,0.09000000000000005,0.1584689836849046,True,False,W_primary
0.95,0.025,0.154410684238981,0.16813743242723117,0.10000000000000005,0.1584689836849046,True,False,W_primary
0.95,0.05,0.154410684238981,0.16813743242723117,0.15000000000000005,0.1584689836849046,True,False,W_primary
0.9,1e-06,0.15620290399742548,0.16920488855033267,0.10000199999999998,0.1584689836849046,True,False,W_primary
