bin,predicted,observed,games,Gender,block,model
3,0.35556346122689064,0.4482758620689655,29,M,pooled_common,logistic_raw
4,0.4477029343801445,0.3055555555555556,36,M,pooled_common,logistic_raw
5,0.5524038943274656,0.5192307692307693,52,M,pooled_common,logistic_raw
6,0.6584170973330556,0.5263157894736842,38,M,pooled_common,logistic_raw
7,0.7401886067920528,0.5714285714285714,42,M,pooled_common,logistic_raw
8,0.8481107466649318,0.9411764705882353,34,M,pooled_common,logistic_raw
9,0.9429859104261185,0.9375,16,M,pooled_common,logistic_raw
0,0.07913254267197842,0.043478260869565216,23,M,pooled_common,seed_calibrated
1,0.16057309177585313,0.23684210526315788,38,M,pooled_common,seed_calibrated
2,0.24029084589928462,0.3333333333333333,24,M,pooled_common,seed_calibrated
3,0.34661601043588086,0.25806451612903225,31,M,pooled_common,seed_calibrated
4,0.44867876036540805,0.3333333333333333,30,M,pooled_common,seed_calibrated
5,0.5264903426886038,0.43137254901960786,51,M,pooled_common,seed_calibrated
6,0.6434460097881957,0.5666666666666667,30,M,pooled_common,seed_calibrated
7,0.7532701952011042,0.66,50,M,pooled_common,seed_calibrated
8,0.8339503788876786,0.7692307692307693,39,M,pooled_common,seed_calibrated
9,0.9196803197349299,0.8888888888888888,18,M,pooled_common,seed_calibrated
0,0.0791325426719784,0.043478260869565216,23,M,pooled_common,seed_raw
1,0.16057309177585313,0.23684210526315788,38,M,pooled_common,seed_raw
2,0.24029084589928465,0.3333333333333333,24,M,pooled_common,seed_raw
3,0.34661601043588086,0.25806451612903225,31,M,pooled_common,seed_raw
4,0.44867876036540805,0.3333333333333333,30,M,pooled_common,seed_raw
5,0.5264903426886038,0.43137254901960786,51,M,pooled_common,seed_raw
6,0.6434460097881957,0.5666666666666667,30,M,pooled_common,seed_raw
7,0.7532701952011042,0.66,50,M,pooled_common,seed_raw
8,0.8339503788876786,0.7692307692307693,39,M,pooled_common,seed_raw
9,0.9196803197349299,0.8888888888888888,18,M,pooled_common,seed_raw
0,0.06592954112135846,0.043478260869565216,23,M,pooled_common,xgboost_calibrated
1,0.14744553072699185,0.06896551724137931,29,M,pooled_common,xgboost_calibrated
2,0.24725277335555465,0.3333333333333333,27,M,pooled_common,xgboost_calibrated
3,0.35409296281409985,0.30303030303030304,33,M,pooled_common,xgboost_calibrated
4,0.44636588990688325,0.375,40,M,pooled_common,xgboost_calibrated
5,0.542555058002472,0.5454545454545454,55,M,pooled_common,xgboost_calibrated
6,0.6529379502320901,0.48717948717948717,39,M,pooled_common,xgboost_calibrated
7,0.7554389268159867,0.65,40,M,pooled_common,xgboost_calibrated
8,0.8539746277260057,0.8787878787878788,33,M,pooled_common,xgboost_calibrated
9,0.9322624286015828,0.8666666666666667,15,M,pooled_common,xgboost_calibrated
0,0.06592954112135846,0.043478260869565216,23,M,pooled_common,xgboost_raw
1,0.14744553072699185,0.06896551724137931,29,M,pooled_common,xgboost_raw
2,0.24725277335555465,0.3333333333333333,27,M,pooled_common,xgboost_raw
3,0.35409296281409985,0.30303030303030304,33,M,pooled_common,xgboost_raw
4,0.44636588990688325,0.375,40,M,pooled_common,xgboost_raw
5,0.542555058002472,0.5454545454545454,55,M,pooled_common,xgboost_raw
6,0.6529379502320901,0.48717948717948717,39,M,pooled_common,xgboost_raw
7,0.7554389268159867,0.65,40,M,pooled_common,xgboost_raw
8,0.8539746277260057,0.8787878787878788,33,M,pooled_common,xgboost_raw
9,0.9322624286015828,0.8666666666666667,15,M,pooled_common,xgboost_raw
0,0.05749389204864262,0.0,47,W,W,blend
1,0.14073854813566536,0.1111111111111111,36,W,W,blend
2,0.2534713803420994,0.2631578947368421,19,W,W,blend
3,0.36051122161165183,0.41379310344827586,29,W,W,blend
4,0.4487094412593781,0.5,24,W,W,blend
5,0.5637597333128844,0.6190476190476191,21,W,W,blend
6,0.6479211671250653,0.6470588235294118,17,W,W,blend
7,0.7543435278908872,0.7,30,W,W,blend
8,0.8568800623245028,0.7209302325581395,43,W,W,blend
9,0.9465741738018962,0.9795918367346939,49,W,W,blend
0,0.05673141605194729,0.0,49,W,W,hist_calibrated
1,0.1304496471245296,0.14285714285714285,35,W,W,hist_calibrated
2,0.25647863521311215,0.2631578947368421,19,W,W,hist_calibrated
3,0.3496948972019294,0.42857142857142855,28,W,W,hist_calibrated
4,0.44292065584633794,0.3333333333333333,15,W,W,hist_calibrated
5,0.5410192162656566,0.6666666666666666,21,W,W,hist_calibrated
6,0.6414846628423548,0.6666666666666666,42,W,W,hist_calibrated
7,0.745384503742032,0.6428571428571429,14,W,W,hist_calibrated
8,0.863910119984319,0.7674418604651163,43,W,W,hist_calibrated
9,0.9439634620206655,0.9387755102040817,49,W,W,hist_calibrated
0,0.06468184930684903,0.0,46,W,W,hist_raw
