model,block,feature,status,seasons
hist,levels,diff_system_BOB_level,retained,1
hist,levels,diff_system_BOB_logit,retained,4
hist,levels,diff_system_CJB_logit,retained,1
hist,levels,diff_system_CNG_level,retained,1
hist,levels,diff_system_CNG_logit,retained,7
hist,levels,diff_system_CRO_logit,retained,5
hist,levels,diff_system_DOK_logit,retained,6
hist,levels,diff_system_DOL_logit,retained,7
hist,levels,diff_system_EBP_level,retained,1
hist,levels,diff_system_EBP_logit,retained,7
hist,levels,diff_system_KRA_logit,retained,1
hist,levels,diff_system_LMC_logit,retained,6
hist,levels,diff_system_MAS_logit,retained,2
hist,levels,diff_system_MOR_logit,retained,5
hist,levels,diff_system_MSX_logit,retained,2
hist,levels,diff_system_OMY_logit,retained,1
hist,levels,diff_system_POM_logit,retained,5
hist,levels,diff_system_PTS_logit,retained,1
hist,levels,diff_system_REI_logit,retained,1
hist,levels,diff_system_RTH_logit,retained,6
hist,levels,diff_system_RT_logit,retained,1
hist,levels,diff_system_SAG_logit,retained,6
hist,levels,diff_system_SEL_level,retained,1
hist,levels,diff_system_SEL_logit,retained,4
hist,levels,diff_system_SFX_logit,retained,1
hist,levels,diff_system_STH_logit,retained,5
hist,levels,diff_system_WIL_logit,retained,5
hist,levels,diff_system_WLK_level,retained,1
hist,levels,diff_system_WLK_logit,retained,7
hist,levels,diff_win_rate,retained,7
hist,momentum,diff_margin,retained,7
hist,momentum,diff_margin_sd,retained,7
hist,momentum,diff_rank_age,retained,7
hist,momentum,diff_rank_coverage,retained,3
hist,momentum,diff_rank_disagreement,retained,7
hist,momentum,diff_rank_iqr,retained,7
hist,momentum,diff_rank_logit,retained,7
hist,momentum,diff_rank_lower,retained,7
hist,momentum,diff_rank_mean,retained,7
hist,momentum,diff_rank_systems,retained,4
hist,momentum,diff_rank_top25,retained,7
hist,momentum,diff_rank_top50,retained,7
hist,momentum,diff_rank_upper,retained,4
hist,momentum,diff_schedule_strength,retained,7
hist,momentum,diff_seed,retained,7
hist,momentum,diff_strength,retained,7
hist,momentum,diff_system_7OT_change_60,retained,4
hist,momentum,diff_system_DCI_change_30,retained,1
hist,momentum,diff_system_DC_change_30,retained,7
hist,momentum,diff_system_DC_change_7,retained,4
hist,momentum,diff_system_KOS_change_60,retained,1
hist,momentum,diff_system_LMC_change_30,retained,7
hist,momentum,diff_system_LMC_change_60,retained,6
hist,momentum,diff_system_LMC_change_7,retained,2
hist,momentum,diff_system_LYN_change_60,retained,1
hist,momentum,diff_system_MSX_change_30,retained,2
hist,momentum,diff_system_MSX_change_60,retained,6
hist,momentum,diff_system_NOL_change_30,retained,7
hist,momentum,diff_system_NOL_change_60,retained,7
hist,momentum,diff_system_NOL_change_7,retained,2
hist,momentum,diff_system_PIG_change_30,retained,1
hist,momentum,diff_system_POM_change_30,retained,1
hist,momentum,diff_system_PTS_change_30,retained,1
hist,momentum,diff_system_RPI_change_30,retained,1
hist,momentum,diff_system_RTP_change_30,retained,7
hist,momentum,diff_system_RTP_change_60,retained,7
hist,momentum,diff_system_RTP_change_7,retained,6
hist,momentum,diff_system_RTR_change_30,retained,1
hist,momentum,diff_system_RT_change_30,retained,7
hist,momentum,diff_system_RT_change_60,retained,7
hist,momentum,diff_system_RT_change_7,retained,1
hist,momentum,diff_system_SFX_change_30,retained,1
hist,momentum,diff_system_SPW_change_30,retained,5
hist,momentum,diff_system_SPW_change_60,retained,7
hist,momentum,diff_system_SPW_change_7,retained,1
hist,momentum,diff_system_STH_change_30,retained,1
hist,momentum,diff_win_rate,retained,7
hist,strength,diff_margin,retained,7
hist,strength,diff_margin_sd,retained,7
hist,strength,diff_schedule_strength,retained,7
hist,strength,diff_seed,retained,7
hist,strength,diff_strength,retained,7
hist,strength,diff_win_rate,retained,7
logistic,availability,diff_margin,retained,7
logistic,availability,diff_margin_sd,retained,7
logistic,availability,diff_rank_age,retained,7
logistic,availability,diff_rank_coverage,retained,3
logistic,availability,diff_rank_disagreement,retained,7
logistic,availability,diff_rank_iqr,retained,7
logistic,availability,diff_rank_logit,retained,7
logistic,availability,diff_rank_lower,retained,7
logistic,availability,diff_rank_mean,retained,7
logistic,availability,diff_rank_systems,retained,4
logistic,availability,diff_rank_top25,retained,7
logistic,availability,diff_rank_top50,retained,7
logistic,availability,diff_rank_upper,retained,4
logistic,availability,diff_schedule_strength,retained,7
logistic,availability,diff_seed,retained,7
logistic,availability,diff_strength,retained,7
logistic,availability,diff_system_AP_available,retained,7
logistic,availability,diff_system_DES_available,retained,7
logistic,availability,diff_system_USA_available,retained,7
logistic,availability,diff_win_rate,retained,7
logistic,combined,diff_margin,retained,7
logistic,combined,diff_margin_sd,retained,7
logistic,combined,diff_rank_age,retained,7
logistic,combined,diff_rank_coverage,retained,3
logistic,combined,diff_rank_disagreement,retained,7
logistic,combined,diff_rank_iqr,retained,7
logistic,combined,diff_rank_logit,retained,7
logistic,combined,diff_rank_lower,retained,7
logistic,combined,diff_rank_mean,retained,7
logistic,combined,diff_rank_systems,retained,4
logistic,combined,diff_rank_top25,retained,7
logistic,combined,diff_rank_top50,retained,7
logistic,combined,diff_rank_upper,retained,4
logistic,combined,diff_schedule_strength,retained,7
logistic,combined,diff_seed,retained,7
