model,block,Season,scope,status,count
logistic,combined,2017,additional,constant,102
logistic,combined,2017,additional,redundant,1
logistic,combined,2017,additional,redundant_base,2
logistic,combined,2017,additional,retained,16
logistic,combined,2017,base,constant,1
logistic,combined,2017,base,redundant,2
logistic,combined,2017,base,retained,16
logistic,combined,2018,additional,all_missing,310
logistic,combined,2018,additional,capacity,411
logistic,combined,2018,additional,constant,102
logistic,combined,2018,additional,redundant_base,1
logistic,combined,2018,additional,retained,16
logistic,combined,2018,base,constant,1
logistic,combined,2018,base,redundant,3
logistic,combined,2018,base,retained,15
logistic,combined,2019,additional,all_missing,310
logistic,combined,2019,additional,capacity,410
logistic,combined,2019,additional,constant,102
logistic,combined,2019,additional,redundant_base,2
logistic,combined,2019,additional,retained,16
logistic,combined,2019,base,constant,1
logistic,combined,2019,base,redundant,3
logistic,combined,2019,base,retained,15
logistic,combined,2021,additional,all_missing,310
logistic,combined,2021,additional,capacity,410
logistic,combined,2021,additional,constant,102
logistic,combined,2021,additional,redundant_base,2
logistic,combined,2021,additional,retained,16
logistic,combined,2021,base,constant,1
logistic,combined,2021,base,redundant,3
logistic,combined,2021,base,retained,15
logistic,consensus,2014,base,constant,1
logistic,consensus,2014,base,redundant,2
logistic,consensus,2014,base,retained,16
logistic,consensus,2015,base,constant,1
logistic,consensus,2015,base,redundant,2
logistic,consensus,2015,base,retained,16
logistic,consensus,2016,base,redundant,2
logistic,consensus,2016,base,retained,16
logistic,consensus,2017,base,redundant,2
logistic,consensus,2017,base,retained,16
logistic,consensus,2018,base,redundant,3
logistic,consensus,2018,base,retained,15
logistic,consensus,2019,base,redundant,3
logistic,consensus,2019,base,retained,15
logistic,consensus,2021,base,redundant,3
logistic,consensus,2021,base,retained,15
logistic,deviations,2014,additional,all_missing,100
logistic,deviations,2014,additional,capacity,94
logistic,deviations,2014,additional,retained,16
logistic,deviations,2014,base,constant,1
logistic,deviations,2014,base,redundant,2
logistic,deviations,2014,base,retained,16
logistic,deviations,2015,additional,all_missing,96
logistic,deviations,2015,additional,capacity,98
logistic,deviations,2015,additional,retained,16
logistic,deviations,2015,base,constant,1
logistic,deviations,2015,base,redundant,2
logistic,deviations,2015,base,retained,16
logistic,deviations,2016,additional,all_missing,92
logistic,deviations,2016,additional,capacity,102
logistic,deviations,2016,additional,retained,16
logistic,deviations,2016,base,constant,1
