Gender,Season,control,arm,games,brier,log_loss,auc
W,2018,strength,without_context,63,0.15497804743124216,0.45834430251257857,0.8671399594320487
W,2018,adjusted,baseline,63,0.15721364928116435,0.4660767204599627,0.8620689655172413
W,2018,adjusted,quality_volume,63,0.15641599149572688,0.4636305989311621,0.8651115618661258
W,2018,adjusted,opportunity,63,0.1562422392805973,0.46307857228673693,0.8640973630831643
W,2018,adjusted,context,63,0.1567312080908261,0.464342260494507,0.8640973630831643
W,2018,adjusted,all,63,0.15643834153505776,0.463579062024859,0.8651115618661258
W,2018,adjusted,without_quality_volume,63,0.15601878336614913,0.46303116495893126,0.8630831643002028
W,2018,adjusted,without_opportunity,63,0.1568026509888749,0.4644051294794919,0.8640973630831643
W,2018,adjusted,without_context,63,0.1557328765338375,0.4614959099241019,0.8671399594320487
W,2019,strength,baseline,63,0.12824426112654821,0.3955682742397386,0.9022177419354839
W,2019,strength,quality_volume,63,0.12513352495424643,0.38601604777156806,0.9092741935483871
W,2019,strength,opportunity,63,0.12988209956809338,0.397221341129223,0.9002016129032258
W,2019,strength,context,63,0.13239849277186094,0.3995048200053805,0.8921370967741936
W,2019,strength,all,63,0.13601440175996463,0.4094791288426852,0.8921370967741935
W,2019,strength,without_quality_volume,63,0.13579571288220074,0.4086548292460191,0.8921370967741935
W,2019,strength,without_opportunity,63,0.1318805162921749,0.39820232617228485,0.8911290322580645
W,2019,strength,without_context,63,0.13040419284932278,0.3984914593218994,0.9022177419354838
W,2019,adjusted,baseline,63,0.12846461990617178,0.3957246893588666,0.8971774193548387
W,2019,adjusted,quality_volume,63,0.12590204866424134,0.3875378525084657,0.9092741935483871
W,2019,adjusted,opportunity,63,0.13018278537661565,0.39855420742875336,0.9022177419354839
W,2019,adjusted,context,63,0.13256079963660947,0.40058073909755465,0.8991935483870968
W,2019,adjusted,all,63,0.13554038573173097,0.40998603239440556,0.8921370967741935
W,2019,adjusted,without_quality_volume,63,0.13528509449420525,0.4090306339517895,0.8931451612903226
W,2019,adjusted,without_opportunity,63,0.13199783592072625,0.3990767723285822,0.8981854838709677
W,2019,adjusted,without_context,63,0.1306741623122102,0.3998632604289773,0.9002016129032258
W,2021,strength,baseline,63,0.15717714089375154,0.4734822044402482,0.8575883575883577
W,2021,strength,quality_volume,63,0.15998412432244832,0.4752493771038396,0.8607068607068608
W,2021,strength,opportunity,63,0.15778415014310573,0.46856032322887176,0.8669438669438669
W,2021,strength,context,63,0.15977772811119945,0.47479556640214293,0.8627858627858628
W,2021,strength,all,63,0.15647696731021274,0.4652770235586554,0.8690228690228691
W,2021,strength,without_quality_volume,63,0.15680598602548176,0.46606195202210565,0.867983367983368
W,2021,strength,without_opportunity,63,0.1591691673527454,0.47291700608614257,0.8669438669438669
W,2021,strength,without_context,63,0.15690909480952334,0.4663586758138,0.8669438669438669
W,2021,adjusted,baseline,63,0.158249032087739,0.4796758821535492,0.8565488565488566
W,2021,adjusted,quality_volume,63,0.16032773483306795,0.4797557132449814,0.8565488565488566
W,2021,adjusted,opportunity,63,0.1576361155487136,0.4731022958925218,0.8659043659043659
W,2021,adjusted,context,63,0.16023993002328402,0.4806706657015315,0.8575883575883576
