scope,Gender,Season,arm,games,brier,baseline_brier,delta
all_tournament,W,2021,single_seeded_win_rate,63,0.1582954935986325,0.15717714089375154,0.0011183527048809483
all_tournament,W,2021,single_seeded_wins,63,0.15813813883907155,0.15717714089375154,0.0009609979453200079
main_draw_day136,M,2016,baseline,63,0.1968070411821754,0.1968070411821754,0.0
main_draw_day136,M,2016,minimal,63,0.18598579403287382,0.1968070411821754,-0.010821247149301577
main_draw_day136,M,2016,minimal_quality,63,0.1850992970418575,0.1968070411821754,-0.011707744140317888
main_draw_day136,M,2016,single_away_quality_wins,63,0.1919400579415263,0.1968070411821754,-0.004866983240649103
main_draw_day136,M,2016,single_bad_loss_rate,63,0.1980508006552809,0.1968070411821754,0.0012437594731055102
main_draw_day136,M,2016,single_elite_win_rate,63,0.19660678509989069,0.1968070411821754,-0.00020025608228471659
main_draw_day136,M,2016,single_elite_wins,63,0.19706890396787027,0.1968070411821754,0.00026186278569487187
main_draw_day136,M,2016,single_late_quality_wins,63,0.19909834524309644,0.1968070411821754,0.00229130406092104
main_draw_day136,M,2016,single_quality_margin,63,0.19694102637711916,0.1968070411821754,0.0001339851949437587
main_draw_day136,M,2016,single_quality_win_rate,63,0.19695197905962641,0.1968070411821754,0.0001449378774510124
main_draw_day136,M,2016,single_quality_wins,63,0.198500337177742,0.1968070411821754,0.001693295995566585
main_draw_day136,M,2016,single_schedule_quality,63,0.19907236823211,0.1968070411821754,0.0022653270499345957
main_draw_day136,M,2016,single_seeded_win_rate,63,0.1972640099674513,0.1968070411821754,0.0004569687852759019
main_draw_day136,M,2016,single_seeded_wins,63,0.19862837896431884,0.1968070411821754,0.0018213377821434396
main_draw_day136,M,2017,baseline,63,0.16748295292997467,0.16748295292997467,0.0
main_draw_day136,M,2017,minimal,63,0.17656521076316417,0.16748295292997467,0.0090822578331895
main_draw_day136,M,2017,minimal_quality,63,0.1783199979892727,0.16748295292997467,0.010837045059298028
main_draw_day136,M,2017,single_away_quality_wins,63,0.17719293067069278,0.16748295292997467,0.009709977740718106
main_draw_day136,M,2017,single_bad_loss_rate,63,0.1677944811615643,0.16748295292997467,0.0003115282315896417
main_draw_day136,M,2017,single_elite_win_rate,63,0.1683262660371565,0.16748295292997467,0.0008433131071818312
main_draw_day136,M,2017,single_elite_wins,63,0.16816390476399795,0.16748295292997467,0.0006809518340232801
main_draw_day136,M,2017,single_late_quality_wins,63,0.16846683260754988,0.16748295292997467,0.0009838796775752112
main_draw_day136,M,2017,single_quality_margin,63,0.16807324790587921,0.16748295292997467,0.0005902949759045428
main_draw_day136,M,2017,single_quality_win_rate,63,0.16712662584529198,0.16748295292997467,-0.0003563270846826949
main_draw_day136,M,2017,single_quality_wins,63,0.16707256976033383,0.16748295292997467,-0.0004103831696408433
main_draw_day136,M,2017,single_schedule_quality,63,0.16568471953960598,0.16748295292997467,-0.001798233390368692
main_draw_day136,M,2017,single_seeded_win_rate,63,0.16709342159165344,0.16748295292997467,-0.00038953133832123066
main_draw_day136,M,2017,single_seeded_wins,63,0.16656610435271674,0.16748295292997467,-0.0009168485772579338
main_draw_day136,M,2018,baseline,63,0.19958452749674407,0.19958452749674407,0.0
main_draw_day136,M,2018,minimal,63,0.2024860841941707,0.19958452749674407,0.002901556697426616
main_draw_day136,M,2018,minimal_quality,63,0.1994838086843901,0.19958452749674407,-0.00010071881235396152
main_draw_day136,M,2018,single_away_quality_wins,63,0.19835603936710441,0.19958452749674407,-0.00122848812963966
main_draw_day136,M,2018,single_bad_loss_rate,63,0.20061122033209375,0.19958452749674407,0.001026692835349674
main_draw_day136,M,2018,single_elite_win_rate,63,0.19987966268975965,0.19958452749674407,0.00029513519301557767
main_draw_day136,M,2018,single_elite_wins,63,0.19943962832891343,0.19958452749674407,-0.00014489916783064216
main_draw_day136,M,2018,single_late_quality_wins,63,0.19998266658893757,0.19958452749674407,0.00039813909219349464
main_draw_day136,M,2018,single_quality_margin,63,0.20328629681954424,0.19958452749674407,0.003701769322800169
main_draw_day136,M,2018,single_quality_win_rate,63,0.20207062206544882,0.19958452749674407,0.002486094568704744
main_draw_day136,M,2018,single_quality_wins,63,0.20262195032641028,0.19958452749674407,0.0030374228296662087
main_draw_day136,M,2018,single_schedule_quality,63,0.20132218672674504,0.19958452749674407,0.0017376592300009652
main_draw_day136,M,2018,single_seeded_win_rate,63,0.20328464484603373,0.19958452749674407,0.0037001173492896555
main_draw_day136,M,2018,single_seeded_wins,63,0.20407725981589542,0.19958452749674407,0.0044927323191513435
main_draw_day136,M,2019,baseline,63,0.1676295117868021,0.1676295117868021,0.0
main_draw_day136,M,2019,minimal,63,0.16899203269401047,0.1676295117868021,0.00136252090720837
main_draw_day136,M,2019,minimal_quality,63,0.16682983497627787,0.1676295117868021,-0.0007996768105242302
main_draw_day136,M,2019,single_away_quality_wins,63,0.16995211562839202,0.1676295117868021,0.0023226038415899153
main_draw_day136,M,2019,single_bad_loss_rate,63,0.16784741282771215,0.1676295117868021,0.0002179010409100457
main_draw_day136,M,2019,single_elite_win_rate,63,0.16757626068240333,0.1676295117868021,-5.3251104398771565e-05
main_draw_day136,M,2019,single_elite_wins,63,0.16772751258950264,0.1676295117868021,9.800080270053191e-05
main_draw_day136,M,2019,single_late_quality_wins,63,0.16716290346915652,0.1676295117868021,-0.00046660831764558375
main_draw_day136,M,2019,single_quality_margin,63,0.16762801859279025,0.1676295117868021,-1.4931940118534381e-06
main_draw_day136,M,2019,single_quality_win_rate,63,0.16763432408490822,0.1676295117868021,4.812298106116053e-06
main_draw_day136,M,2019,single_quality_wins,63,0.16788063663914773,0.1676295117868021,0.00025112485234563
main_draw_day136,M,2019,single_schedule_quality,63,0.16920034333154127,0.1676295117868021,0.0015708315447391652
main_draw_day136,M,2019,single_seeded_win_rate,63,0.16761885944913418,0.1676295117868021,-1.0652337667921286e-05
main_draw_day136,M,2019,single_seeded_wins,63,0.16788553951962157,0.1676295117868021,0.0002560277328194638
main_draw_day136,M,2021,baseline,66,0.21921447022202573,0.21921447022202573,0.0
main_draw_day136,M,2021,minimal,66,0.22156367000714813,0.21921447022202573,0.002349199785122408
main_draw_day136,M,2021,minimal_quality,66,0.22082207237632692,0.21921447022202573,0.0016076021543011965
main_draw_day136,M,2021,single_away_quality_wins,66,0.21946532875125102,0.21921447022202573,0.00025085852922529517
main_draw_day136,M,2021,single_bad_loss_rate,66,0.2194823148440855,0.21921447022202573,0.0002678446220597819
main_draw_day136,M,2021,single_elite_win_rate,66,0.21929679812178154,0.21921447022202573,8.232789975581856e-05
main_draw_day136,M,2021,single_elite_wins,66,0.21906291242364012,0.21921447022202573,-0.00015155779838560424
main_draw_day136,M,2021,single_late_quality_wins,66,0.21875276536102262,0.21921447022202573,-0.00046170486100310937
main_draw_day136,M,2021,single_quality_margin,66,0.21926066490329157,0.21921447022202573,4.619468126584869e-05
main_draw_day136,M,2021,single_quality_win_rate,66,0.21937393604931055,0.21921447022202573,0.0001594658272848215
main_draw_day136,M,2021,single_quality_wins,66,0.21929260441847234,0.21921447022202573,7.813419644661646e-05
main_draw_day136,M,2021,single_schedule_quality,66,0.22091194382458268,0.21921447022202573,0.0016974736025569537
main_draw_day136,M,2021,single_seeded_win_rate,66,0.21946208832592717,0.21921447022202573,0.000247618103901448
main_draw_day136,M,2021,single_seeded_wins,66,0.2192792932382904,0.21921447022202573,6.482301626467568e-05
main_draw_day136,W,2016,baseline,63,0.14946217863349998,0.14946217863349998,0.0
main_draw_day136,W,2016,minimal,63,0.16471468613589269,0.14946217863349998,0.01525250750239271
main_draw_day136,W,2016,minimal_quality,63,0.1691840918783449,0.14946217863349998,0.01972191324484493
main_draw_day136,W,2016,single_away_quality_wins,63,0.15529284071531602,0.14946217863349998,0.00583066208181604
main_draw_day136,W,2016,single_bad_loss_rate,63,0.14811814988409716,0.14946217863349998,-0.0013440287494028147
main_draw_day136,W,2016,single_elite_win_rate,63,0.15317708672850636,0.14946217863349998,0.0037149080950063806
main_draw_day136,W,2016,single_elite_wins,63,0.15013903311232848,0.14946217863349998,0.0006768544788285091
main_draw_day136,W,2016,single_late_quality_wins,63,0.14944924451578187,0.14946217863349998,-1.2934117718105265e-05
main_draw_day136,W,2016,single_quality_margin,63,0.1527240472259057,0.14946217863349998,0.0032618685924057367
main_draw_day136,W,2016,single_quality_win_rate,63,0.15430506033263497,0.14946217863349998,0.004842881699134993
main_draw_day136,W,2016,single_quality_wins,63,0.1526866194620601,0.14946217863349998,0.0032244408285601323
