variant,Season,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins,mean_season_brier
pooled_240_trees,2018,67,0.18496100632985166,0.5587291292521306,0.7912186379928315,0.8067402596673412,0.6571428571428571,0.7419354838709677,0.696969696969697,0.12897616079938945,0.18496100632985166
pooled_240_trees,2019,67,0.1707795159754243,0.49791773463689015,0.8312159709618874,0.776042457390202,0.6666666666666666,0.6206896551724138,0.6428571428571429,0.16348262293848081,0.17077951597542432
pooled_240_trees,2021,66,0.2017892555817829,0.5895165665351163,0.7674632352941175,0.7634474612944406,0.631578947368421,0.75,0.6857142857142857,0.12540798560913766,0.20178925558178293
pooled_64_features,2016,67,0.18540821719496317,0.5563352924152825,0.8012704174228674,0.7321861895943443,0.6875,0.7586206896551724,0.7213114754098361,0.12114789937414339,0.18540821719496317
pooled_64_features,2017,67,0.16644939646393836,0.4918090063167706,0.8529411764705882,0.8616504203651574,0.6808510638297872,0.9696969696969697,0.8,0.1313582901467583,0.16644939646393836
pooled_64_features,2018,67,0.19794260140858197,0.5821131445544723,0.7634408602150538,0.7817370511388824,0.6875,0.7096774193548387,0.6984126984126984,0.11300847159503999,0.19794260140858197
pooled_64_features,2019,67,0.16456121870568424,0.4861892508524462,0.8348457350272233,0.8040090454056166,0.6785714285714286,0.6551724137931034,0.6666666666666666,0.14689437299966815,0.16456121870568421
pooled_64_features,2021,66,0.20765408540610977,0.6008608071127117,0.7555147058823529,0.7532918144404464,0.65,0.8125,0.7222222222222222,0.14952466986847648,0.20765408540610977
pooled_less_regularized,2016,67,0.18908098567244866,0.5695956391033894,0.7921960072595281,0.7174326990068136,0.6470588235294118,0.7586206896551724,0.6984126984126984,0.11819765444344549,0.18908098567244866
pooled_less_regularized,2017,67,0.17156113293288722,0.5020902620748011,0.8431372549019609,0.8550787065852319,0.6595744680851063,0.9393939393939394,0.775,0.11703448150473746,0.1715611329328872
pooled_less_regularized,2018,67,0.19165303118584923,0.5697388956052041,0.778673835125448,0.7948121049220086,0.6571428571428571,0.7419354838709677,0.696969696969697,0.08814692716878741,0.19165303118584923
pooled_less_regularized,2019,67,0.16594092822029052,0.49056241035289244,0.8366606170598911,0.7785140309692675,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.14180074676648896,0.16594092822029052
pooled_less_regularized,2021,66,0.20753830851236776,0.601879160745387,0.7555147058823529,0.7477906111293902,0.6046511627906976,0.8125,0.6933333333333334,0.10819146697494116,0.20753830851236774
pooled_reference,2016,67,0.1881829246375454,0.5624299162523623,0.7885662431941924,0.705581051569622,0.6875,0.7586206896551724,0.7213114754098361,0.11237772201090605,0.1881829246375454
pooled_reference,2017,67,0.17281913811184352,0.5070307770913678,0.8377896613190732,0.8515133374946537,0.6739130434782609,0.9393939393939394,0.7848101265822784,0.14055955351622249,0.17281913811184352
pooled_reference,2018,67,0.1903617243987811,0.5647965726639937,0.7813620071684588,0.7968711488613909,0.6764705882352942,0.7419354838709677,0.7076923076923077,0.06829693162841584,0.19036172439878113
pooled_reference,2019,67,0.16771473405499618,0.4951315543167086,0.8339382940108893,0.7834233527122366,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.14742713377102099,0.16771473405499618
pooled_reference,2021,66,0.20691769780946365,0.6017972551792409,0.754595588235294,0.7381644009199534,0.6046511627906976,0.8125,0.6933333333333334,0.13012158368347265,0.20691769780946367
