Gender,Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,2018,target_team,logistic,67,0.20711834987868818,0.6088578058494574,0.7517921146953405,0.7692014685085098,0.6666666666666666,0.6451612903225806,0.6557377049180327,0.09458127123999117
M,2018,tempo,hist,67,0.18909701855618072,0.557577987525869,0.7786738351254481,0.7996304352392503,0.6896551724137931,0.6451612903225806,0.6666666666666666,0.12869022157260407
M,2018,tempo,logistic,67,0.18780112532884552,0.5698457924293102,0.7885304659498208,0.8049275777674664,0.7142857142857143,0.6451612903225806,0.6779661016949152,0.12374554794910123
M,2018,without_adjusted,hist,67,0.20065128432215737,0.593652180279063,0.7491039426523297,0.7555406357995527,0.6896551724137931,0.6451612903225806,0.6666666666666666,0.08744000594233904
M,2018,without_adjusted,logistic,67,0.15925781001681957,0.5155888928161841,0.8467741935483871,0.8483201608623383,0.78125,0.8064516129032258,0.7936507936507936,0.08128895542666584
M,2018,without_dynamic,hist,67,0.20690464762082308,0.6031991125739342,0.7383512544802867,0.747128093818239,0.7,0.6774193548387096,0.6885245901639344,0.14846395460829456
M,2018,without_dynamic,logistic,67,0.16136008693459455,0.5192514155824203,0.8378136200716846,0.841520988094308,0.75,0.7741935483870968,0.7619047619047619,0.061163987239648866
M,2018,without_form,hist,67,0.1975874750225972,0.5854405743692589,0.7634408602150538,0.7601594572231793,0.7037037037037037,0.6129032258064516,0.6551724137931034,0.09888581187477888
M,2018,without_form,logistic,67,0.16615820720580574,0.5314628438256376,0.8324372759856631,0.8376363110637165,0.75,0.7741935483870968,0.7619047619047619,0.07462646706662349
M,2018,without_four_factors,hist,67,0.19716869152729335,0.5848500528367564,0.7598566308243728,0.7620731439016912,0.7,0.6774193548387096,0.6885245901639344,0.09526425154260296
M,2018,without_four_factors,logistic,67,0.16071306290549617,0.51991314037083,0.8413978494623656,0.8434257688071323,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.08390072338770622
M,2018,without_history,hist,67,0.19922389543495678,0.5879675224662265,0.7544802867383512,0.7600765905328554,0.7241379310344828,0.6774193548387096,0.7,0.10321769595227161
M,2018,without_history,logistic,67,0.16450364616291596,0.5248632050353275,0.8342293906810035,0.8453523059325473,0.7333333333333333,0.7096774193548387,0.7213114754098361,0.05837942263074748
M,2018,without_interactions,hist,67,0.2005700886334816,0.5927250751655087,0.7562724014336918,0.7527328845115127,0.6785714285714286,0.6129032258064516,0.6440677966101694,0.13831877596948164
M,2018,without_interactions,logistic,67,0.16766400707515142,0.5305821559986962,0.8306451612903226,0.8371548388834028,0.7272727272727273,0.7741935483870968,0.75,0.07921017042481343
M,2018,without_shooting,hist,67,0.20280179218127237,0.5987464171344399,0.7473118279569892,0.7493795864180683,0.7,0.6774193548387096,0.6885245901639344,0.09591992352780333
M,2018,without_shooting,logistic,67,0.16218985794433552,0.51569076253726,0.8324372759856631,0.8286549202117419,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.08330443541280226
M,2018,without_target_seed,hist,67,0.20011037591457256,0.5931475141873322,0.7535842293906809,0.7563762198720645,0.7,0.6774193548387096,0.6885245901639344,0.07110674247522139
M,2018,without_target_seed,logistic,67,0.16188460394160428,0.519459178000369,0.8431899641577061,0.8426457999863238,0.7586206896551724,0.7096774193548387,0.7333333333333333,0.052705594177652026
M,2018,without_target_team,hist,67,0.19877398490426335,0.5875397505443973,0.757168458781362,0.763668509131783,0.7,0.6774193548387096,0.6885245901639344,0.12114776831757115
M,2018,without_target_team,logistic,67,0.16375634687810808,0.5245356224584814,0.8333333333333334,0.833444452917915,0.7333333333333333,0.7096774193548387,0.7213114754098361,0.0964536897640084
M,2018,without_tempo,hist,67,0.20054296434164479,0.5914655227973856,0.753584229390681,0.7617758586401338,0.6896551724137931,0.6451612903225806,0.6666666666666666,0.11812797445627306
M,2018,without_tempo,logistic,67,0.1704215394828378,0.5298564610864513,0.8207885304659499,0.8176957887366698,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.05713480381909999
M,2019,adjusted,hist,67,0.17658235560311564,0.5197662721598089,0.8094373865698729,0.7594880231832217,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.0831938282397842
M,2019,adjusted,logistic,67,0.16557147057186272,0.4888753915117833,0.837568058076225,0.8175976417842379,0.6333333333333333,0.6551724137931034,0.6440677966101694,0.12080174047630338
M,2019,dynamic,hist,67,0.18590190465388964,0.5436544599215478,0.794010889292196,0.7383285485775354,0.6428571428571429,0.6206896551724138,0.631578947368421,0.11859503366475263
M,2019,dynamic,logistic,67,0.1740709539927634,0.5079069851613353,0.8176043557168784,0.7746791244837002,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.1057262157748319
M,2019,form,hist,67,0.17958522095899956,0.5270010391496351,0.8039927404718694,0.7391384637313544,0.6428571428571429,0.6206896551724138,0.631578947368421,0.10029064814252661
M,2019,form,logistic,67,0.18646705752187306,0.5418984148316622,0.7976406533575318,0.7294139524287147,0.6666666666666666,0.6206896551724138,0.6428571428571429,0.10879587136579154
M,2019,four_factors,hist,67,0.1694767311973076,0.507586600708977,0.8266787658802178,0.7649773797957357,0.6875,0.7586206896551724,0.7213114754098361,0.08865168262630191
M,2019,four_factors,logistic,67,0.16337923376989275,0.488830806396558,0.8411978221415608,0.804424552112755,0.7096774193548387,0.7586206896551724,0.7333333333333333,0.10389311118099989
M,2019,full,hist,67,0.1830334609329382,0.5460514289062982,0.8021778584392014,0.7012362335792316,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.1321051413587029
M,2019,full,logistic,67,0.19729755848834454,0.5845244874378525,0.780399274047187,0.6870385028903436,0.6774193548387096,0.7241379310344828,0.7,0.16865857803893253
M,2019,history,hist,67,0.17776635265317195,0.5202314952185723,0.8103448275862069,0.7668667861389896,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.12100105926667151
M,2019,history,logistic,67,0.16735061891771702,0.49323194951165866,0.8357531760435571,0.8114304567456874,0.6428571428571429,0.6206896551724138,0.631578947368421,0.15338629823022315
M,2019,interactions,hist,67,0.17419798719698276,0.5106937452770115,0.8176043557168784,0.7885657402018867,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.1401399862474989
M,2019,interactions,logistic,67,0.1710259066450227,0.5006279428202006,0.823049001814882,0.8041209704186363,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.12398649254945435
M,2019,legacy_full,hist,67,0.17627236452369474,0.5225521810477359,0.8176043557168784,0.7713653208006741,0.7142857142857143,0.6896551724137931,0.7017543859649122,0.1320008581699185
M,2019,legacy_full,logistic,67,0.1646581585225911,0.49251643350934704,0.8339382940108893,0.7892814066518178,0.7096774193548387,0.7586206896551724,0.7333333333333333,0.0873355995772466
M,2019,seed,hist,67,0.18832582548431834,0.5500413471427986,0.7881125226860254,0.7409771475359057,0.5925925925925926,0.5517241379310345,0.5714285714285714,0.17498970259257468
M,2019,seed,logistic,67,0.18040030510291713,0.5360612918084986,0.8021778584392014,0.7511081728369194,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.07093282102366436
M,2019,shooting,hist,67,0.17374184843649473,0.5147323750930717,0.8121597096188748,0.7575771095066335,0.6774193548387096,0.7241379310344828,0.7,0.11829659001008098
M,2019,shooting,logistic,67,0.1835834162142727,0.5322802302256123,0.7958257713248639,0.745508899536049,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.09802718018253471
M,2019,strength,hist,67,0.17117284630058932,0.5055020665412219,0.8157894736842106,0.7820006074980563,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.14941660135509985
M,2019,strength,logistic,67,0.166807043244982,0.493106147146355,0.8303085299455535,0.8057554297630498,0.65625,0.7241379310344828,0.6885245901639344,0.09254511113994275
M,2019,target_seed,hist,67,0.17594940420505012,0.5167964527384855,0.8103448275862069,0.7684114189364182,0.625,0.6896551724137931,0.6557377049180327,0.11938172264102734
M,2019,target_seed,logistic,67,0.1700855556816492,0.4986466812447616,0.822141560798548,0.7916778161914416,0.6774193548387096,0.7241379310344828,0.7,0.09362772397295642
M,2019,target_team,hist,67,0.1714842404917787,0.5038550673017822,0.8257713248638838,0.7941047861203105,0.6785714285714286,0.6551724137931034,0.6666666666666666,0.11509362937310856
M,2019,target_team,logistic,67,0.1707895484363503,0.5017720399800812,0.8230490018148819,0.7960623846837432,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.10462987902238265
M,2019,tempo,hist,67,0.16340247580380682,0.4893510832249523,0.8411978221415608,0.7973089011798175,0.6285714285714286,0.7586206896551724,0.6875,0.1427071038428311
M,2019,tempo,logistic,67,0.15803524507798355,0.47156062801053183,0.852994555353902,0.8134493723183557,0.65625,0.7241379310344828,0.6885245901639344,0.17475877198169096
M,2019,without_adjusted,hist,67,0.18304189629398865,0.5462759444859323,0.8039927404718693,0.6835119689718937,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.16122538978908457
M,2019,without_adjusted,logistic,67,0.1974798516681,0.5846797883437395,0.780399274047187,0.6870385028903436,0.6774193548387096,0.7241379310344828,0.7,0.1689412635245832
M,2019,without_dynamic,hist,67,0.1843856908841687,0.5479811535743841,0.8012704174228675,0.6985235372122286,0.75,0.7241379310344828,0.7368421052631579,0.1610805087953487
M,2019,without_dynamic,logistic,67,0.18411123580225344,0.5496584728629255,0.8021778584392014,0.7197435890913102,0.65625,0.7241379310344828,0.6885245901639344,0.12212523723321667
M,2019,without_form,hist,67,0.17681882184624814,0.5308055022086273,0.8121597096188747,0.7159541613770003,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.11942866793308254
M,2019,without_form,logistic,67,0.173859225093501,0.5167549203453129,0.811252268602541,0.7156395949219884,0.6875,0.7586206896551724,0.7213114754098361,0.12135500535035118
M,2019,without_four_factors,hist,67,0.17786124115923307,0.5332694080699407,0.8130671506352087,0.712397064287246,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.11450351426349882
M,2019,without_four_factors,logistic,67,0.19784093072254283,0.5876665338732252,0.7803992740471869,0.6858801453921793,0.6363636363636364,0.7241379310344828,0.6774193548387096,0.13417322446659047
M,2019,without_history,hist,67,0.18120606585589047,0.5403193433048462,0.8067150635208712,0.7063822806938259,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.10584197321041508
M,2019,without_history,logistic,67,0.19705217321465085,0.5815529295873813,0.7822141560798548,0.6929859570093033,0.6363636363636364,0.7241379310344828,0.6774193548387096,0.13494538592108066
M,2019,without_interactions,hist,67,0.17928166870321258,0.5378478273972875,0.809437386569873,0.6913006485936289,0.6428571428571429,0.6206896551724138,0.631578947368421,0.15541224904381795
M,2019,without_interactions,logistic,67,0.19706169909425408,0.5865277307064861,0.7840290381125227,0.696081882387209,0.6774193548387096,0.7241379310344828,0.7,0.16107388906014905
M,2019,without_shooting,hist,67,0.18097800156136004,0.5454072763226753,0.809437386569873,0.670325433183841,0.6666666666666666,0.6206896551724138,0.6428571428571429,0.1414324737030125
M,2019,without_shooting,logistic,67,0.1879010073408955,0.556618044512623,0.7967332123411979,0.7039742981175906,0.6875,0.7586206896551724,0.7213114754098361,0.13107558008008596
M,2019,without_target_seed,hist,67,0.17871093321648973,0.5344850547038222,0.8103448275862069,0.7083542004110835,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.14839941422973704
M,2019,without_target_seed,logistic,67,0.20322478532179217,0.5955313363339532,0.7686025408348457,0.6810788964760703,0.6363636363636364,0.7241379310344828,0.6774193548387096,0.13496244889547526
M,2019,without_target_team,hist,67,0.1827750118732005,0.5455641574181918,0.8039927404718693,0.7039443300804317,0.6428571428571429,0.6206896551724138,0.631578947368421,0.13188582259321893
M,2019,without_target_team,logistic,67,0.19330053884069526,0.5745619631470282,0.7858439201451906,0.6967679052502251,0.6774193548387096,0.7241379310344828,0.7,0.13594716541665774
M,2019,without_tempo,hist,67,0.1818909223120167,0.543401686734793,0.8049001814882033,0.7029568700369798,0.6923076923076923,0.6206896551724138,0.6545454545454545,0.11755654658075239
M,2019,without_tempo,logistic,67,0.20652480362797057,0.6086294249716938,0.778584392014519,0.6967513225297541,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.17740060303404065
M,2021,adjusted,hist,66,0.235434315354917,0.6767592334391076,0.6847426470588236,0.6521958352576407,0.6052631578947368,0.71875,0.6571428571428571,0.13994943105058022
M,2021,adjusted,logistic,66,0.22196598696236366,0.6313170616807205,0.7086397058823529,0.7132812686555257,0.6097560975609756,0.78125,0.684931506849315,0.09028934952069509
