bin,predicted,observed,games,Gender,block,model
8,0.8545183649388565,0.8076923076923077,52,M,without_form,hist
9,0.9147193413007467,0.7777777777777778,9,M,without_form,hist
0,0.04926296205183795,0.10810810810810811,37,M,without_form,logistic
1,0.14630061744303366,0.13157894736842105,38,M,without_form,logistic
2,0.25350334579326167,0.27586206896551724,29,M,without_form,logistic
3,0.3552015539469061,0.37037037037037035,27,M,without_form,logistic
4,0.4558018507076732,0.6,25,M,without_form,logistic
5,0.5424523341842523,0.39285714285714285,28,M,without_form,logistic
6,0.6509173540908423,0.5714285714285714,35,M,without_form,logistic
7,0.7578905791965049,0.625,40,M,without_form,logistic
8,0.8535180287823575,0.675,40,M,without_form,logistic
9,0.9522506897973293,0.8285714285714286,35,M,without_form,logistic
0,0.09219841147999741,0.18181818181818182,11,M,without_four_factors,hist
1,0.14718038677545614,0.061224489795918366,49,M,without_four_factors,hist
2,0.24309592177560357,0.25,24,M,without_four_factors,hist
3,0.34364457198168896,0.2727272727272727,33,M,without_four_factors,hist
4,0.4420231096616705,0.53125,32,M,without_four_factors,hist
5,0.5456532064436619,0.53125,32,M,without_four_factors,hist
6,0.6545656923441436,0.4888888888888889,45,M,without_four_factors,hist
7,0.7504206469558243,0.6226415094339622,53,M,without_four_factors,hist
8,0.8559603300695668,0.8095238095238095,42,M,without_four_factors,hist
9,0.9087130373694874,0.8461538461538461,13,M,without_four_factors,hist
0,0.050924608907795266,0.075,40,M,without_four_factors,logistic
1,0.13832580293162822,0.2564102564102564,39,M,without_four_factors,logistic
2,0.2523000188631833,0.2916666666666667,24,M,without_four_factors,logistic
3,0.34414353076494975,0.23076923076923078,26,M,without_four_factors,logistic
4,0.44709414223424276,0.5333333333333333,30,M,without_four_factors,logistic
5,0.5549895992083506,0.3684210526315789,19,M,without_four_factors,logistic
6,0.6546838528022385,0.5517241379310345,29,M,without_four_factors,logistic
7,0.7490715060004189,0.6190476190476191,42,M,without_four_factors,logistic
8,0.8521277420512062,0.6666666666666666,45,M,without_four_factors,logistic
9,0.9531278279760196,0.825,40,M,without_four_factors,logistic
0,0.09130915740363323,0.15384615384615385,13,M,without_history,hist
1,0.1459135713445991,0.10204081632653061,49,M,without_history,hist
2,0.2502594203031394,0.2,25,M,without_history,hist
3,0.3510230342366928,0.35294117647058826,34,M,without_history,hist
4,0.45130196979301845,0.5483870967741935,31,M,without_history,hist
5,0.5536754346813494,0.3939393939393939,33,M,without_history,hist
6,0.6484616645316035,0.5652173913043478,46,M,without_history,hist
7,0.7434605156975557,0.7021276595744681,47,M,without_history,hist
8,0.8585978720591902,0.723404255319149,47,M,without_history,hist
9,0.9125755549428999,0.7777777777777778,9,M,without_history,hist
0,0.054554347717698085,0.1111111111111111,45,M,without_history,logistic
1,0.1458961100989521,0.10344827586206896,29,M,without_history,logistic
2,0.2375289930660007,0.34615384615384615,26,M,without_history,logistic
3,0.3460894946963838,0.4,35,M,without_history,logistic
4,0.45805548846159216,0.4074074074074074,27,M,without_history,logistic
5,0.5540622042183965,0.5789473684210527,19,M,without_history,logistic
6,0.6561863395817265,0.5833333333333334,36,M,without_history,logistic
7,0.7546551293136988,0.6052631578947368,38,M,without_history,logistic
8,0.8476517330182369,0.627906976744186,43,M,without_history,logistic
9,0.9545534647246114,0.8333333333333334,36,M,without_history,logistic
0,0.09272932684910298,0.2222222222222222,9,M,without_interactions,hist
1,0.14757244693079608,0.05660377358490566,53,M,without_interactions,hist
2,0.24278658109905668,0.23809523809523808,21,M,without_interactions,hist
3,0.3472902797246825,0.2857142857142857,35,M,without_interactions,hist
4,0.4489677163567956,0.5714285714285714,35,M,without_interactions,hist
5,0.5545933236139209,0.56,25,M,without_interactions,hist
6,0.6488368867815629,0.5102040816326531,49,M,without_interactions,hist
7,0.747542756290156,0.62,50,M,without_interactions,hist
8,0.8539169139638133,0.75,44,M,without_interactions,hist
9,0.9110951929051454,0.8461538461538461,13,M,without_interactions,hist
0,0.05152853034169454,0.1,40,M,without_interactions,logistic
1,0.1405946700830909,0.16216216216216217,37,M,without_interactions,logistic
2,0.2452165023601379,0.375,24,M,without_interactions,logistic
3,0.348334786479313,0.24242424242424243,33,M,without_interactions,logistic
4,0.4502033112542192,0.5416666666666666,24,M,without_interactions,logistic
5,0.5433860623053289,0.5,24,M,without_interactions,logistic
6,0.6616899484713015,0.6071428571428571,28,M,without_interactions,logistic
7,0.7419962152418552,0.5853658536585366,41,M,without_interactions,logistic
8,0.8528473722758055,0.6097560975609756,41,M,without_interactions,logistic
9,0.9484639918248631,0.8571428571428571,42,M,without_interactions,logistic
0,0.0900674350479842,0.15384615384615385,13,M,without_shooting,hist
1,0.14250753490547413,0.06521739130434782,46,M,without_shooting,hist
2,0.2469701906246349,0.25,28,M,without_shooting,hist
3,0.35164446200977734,0.25,32,M,without_shooting,hist
4,0.449468712332425,0.4838709677419355,31,M,without_shooting,hist
5,0.5512717322108531,0.6176470588235294,34,M,without_shooting,hist
6,0.6635100206930631,0.5319148936170213,47,M,without_shooting,hist
7,0.7504200109712998,0.5957446808510638,47,M,without_shooting,hist
8,0.8569848702051289,0.8085106382978723,47,M,without_shooting,hist
9,0.9119687920398355,0.7777777777777778,9,M,without_shooting,hist
0,0.05515983237369923,0.07317073170731707,41,M,without_shooting,logistic
1,0.14521245997830204,0.15625,32,M,without_shooting,logistic
