Gender,Season,block,model,feature,fitted,train_nonmissing,validation_nonmissing,train_games,validation_games,standardized_coefficient,status
M,2017,full,logistic,diff_tempo,True,268,67,268,67,-0.3232776734249193,fitted
M,2017,full,logistic,diff_tempo_sd,True,268,67,268,67,-0.2031530671115087,fitted
M,2017,full,logistic,diff_three_dependence,True,268,67,268,67,-0.0384955487879415,fitted
M,2017,full,logistic,diff_possession_gap,True,268,67,268,67,-0.1313961008157633,fitted
M,2017,full,logistic,diff_clean_coverage,True,268,67,268,67,0.1676528062072543,fitted
M,2017,full,logistic,diff_elo,True,268,67,268,67,0.2626152726000176,fitted
M,2017,full,logistic,diff_elo_mov,True,268,67,268,67,0.1151726553661016,fitted
M,2017,full,logistic,diff_elo_change,True,268,67,268,67,0.0746287753307215,fitted
M,2017,full,logistic,diff_elo_mov_change,True,268,67,268,67,-0.2505375189497352,fitted
M,2017,full,logistic,diff_prior_wins,True,268,67,268,67,0.5023877711461641,fitted
M,2017,full,logistic,diff_prior_appearances,True,268,67,268,67,-0.1986247039971137,fitted
M,2017,full,logistic,diff_prior_seed,True,268,67,268,67,-0.1954277652458713,fitted
M,2017,full,logistic,diff_te_team_mean,True,268,67,268,67,-0.2079744789270825,fitted
M,2017,full,logistic,diff_te_team_uncertainty,True,268,67,268,67,-0.0035369089615797,fitted
M,2017,full,logistic,diff_te_team_support,True,268,67,268,67,-0.0873970178429133,fitted
M,2017,full,logistic,diff_te_seed_mean,True,268,67,268,67,0.0873656935467239,fitted
M,2017,full,logistic,diff_te_seed_uncertainty,True,268,67,268,67,-0.1415249679536802,fitted
M,2017,full,logistic,diff_te_seed_support,True,268,67,268,67,-0.0989877025379261,fitted
M,2017,full,logistic,pace_strength,True,268,67,268,67,0.0905796244979605,fitted
M,2017,full,logistic,uncertainty_strength,True,268,67,268,67,0.1033621982939036,fitted
M,2017,full,logistic,three_variance_strength,True,268,67,268,67,-0.0720768570231047,fitted
M,2017,full,logistic,shooting_style,True,268,67,268,67,-0.1148082069322565,fitted
M,2017,full,logistic,offense_defense,True,268,67,268,67,0.2099813373200472,fitted
M,2017,full,logistic,recent_offense_defense,True,268,67,268,67,0.0988051152768025,fitted
M,2018,full,logistic,diff_seed,True,335,67,335,67,0.2287596006522559,fitted
M,2018,full,logistic,diff_strength,True,335,67,335,67,0.0771513549953219,fitted
M,2018,full,logistic,diff_schedule_strength,True,335,67,335,67,0.3468676677968367,fitted
M,2018,full,logistic,diff_win_rate,True,335,67,335,67,0.0512708728995258,fitted
M,2018,full,logistic,diff_margin,True,335,67,335,67,-0.0270634910675622,fitted
M,2018,full,logistic,diff_margin_sd,True,335,67,335,67,0.0895747578605302,fitted
M,2018,full,logistic,diff_efg,True,335,67,335,67,0.0477517969840569,fitted
M,2018,full,logistic,diff_tov,True,335,67,335,67,0.0327188545418116,fitted
M,2018,full,logistic,diff_orb,True,335,67,335,67,-0.0334157120568827,fitted
M,2018,full,logistic,diff_ftr,True,335,67,335,67,-0.0734943796038826,fitted
M,2018,full,logistic,diff_three_rate,True,335,67,335,67,4.727150747471796e-05,fitted
M,2018,full,logistic,diff_opp_efg,True,335,67,335,67,-0.062566198784758,fitted
M,2018,full,logistic,diff_opp_tov,True,335,67,335,67,0.209105470313805,fitted
M,2018,full,logistic,diff_opp_orb,True,335,67,335,67,-0.044025602165703,fitted
M,2018,full,logistic,diff_opp_ftr,True,335,67,335,67,-0.2082697481088622,fitted
M,2018,full,logistic,diff_opp_three_rate,True,335,67,335,67,-0.0301633904533506,fitted
M,2018,full,logistic,diff_detailed_coverage,False,335,67,335,67,,no_training_signal
M,2018,full,logistic,diff_recent_strength,True,335,67,335,67,-0.0024808241609842,fitted
M,2018,full,logistic,diff_strength_change,True,335,67,335,67,-0.1155102864514849,fitted
M,2018,full,logistic,matchup_efg,True,335,67,335,67,0.1212426847023093,fitted
M,2018,full,logistic,matchup_tov,True,335,67,335,67,-0.2283369822344055,fitted
M,2018,full,logistic,matchup_orb,True,335,67,335,67,0.1643566494308858,fitted
M,2018,full,logistic,matchup_ftr,True,335,67,335,67,-0.0394445198125775,fitted
M,2018,full,logistic,matchup_three_rate,True,335,67,335,67,-0.0810497483610657,fitted
M,2018,full,logistic,matchup_strength_volatility,True,335,67,335,67,0.0110056242046873,fitted
M,2018,full,logistic,diff_adj_offense,True,335,67,335,67,0.0245680045115651,fitted
M,2018,full,logistic,diff_adj_defense,True,335,67,335,67,0.0679973059885821,fitted
M,2018,full,logistic,diff_recent_offense,True,335,67,335,67,-0.0583504175375301,fitted
M,2018,full,logistic,diff_recent_defense,True,335,67,335,67,0.0294944474811117,fitted
M,2018,full,logistic,diff_adjusted_efg_offense,True,335,67,335,67,0.125939174290445,fitted
M,2018,full,logistic,diff_adjusted_efg_defense,True,335,67,335,67,0.2351064437224993,fitted
M,2018,full,logistic,diff_adjusted_tov_offense,True,335,67,335,67,-0.0366914983660879,fitted
M,2018,full,logistic,diff_adjusted_tov_defense,True,335,67,335,67,0.2705265395377728,fitted
M,2018,full,logistic,diff_adjusted_orb_offense,True,335,67,335,67,0.0850839678036268,fitted
M,2018,full,logistic,diff_adjusted_orb_defense,True,335,67,335,67,-0.0752437560124877,fitted
M,2018,full,logistic,diff_adjusted_ftr_offense,True,335,67,335,67,-0.0705333067584402,fitted
M,2018,full,logistic,diff_adjusted_ftr_defense,True,335,67,335,67,0.0277708271701666,fitted
M,2018,full,logistic,diff_residual_sd,True,335,67,335,67,-0.2924478000213944,fitted
M,2018,full,logistic,diff_residual_downside,True,335,67,335,67,-0.4159402539689303,fitted
M,2018,full,logistic,diff_recent_residual,True,335,67,335,67,-0.1865588227672217,fitted
M,2018,full,logistic,diff_road_residual,True,335,67,335,67,0.3230764298164347,fitted
M,2018,full,logistic,diff_schedule_sd,True,335,67,335,67,0.0526816305760385,fitted
M,2018,full,logistic,diff_strong_opponent_margin,True,335,67,335,67,-0.0471154309514898,fitted
M,2018,full,logistic,diff_close_win_posterior,True,335,67,335,67,-0.0845756274671188,fitted
M,2018,full,logistic,diff_rest_days,True,335,67,335,67,0.0313386684662218,fitted
M,2018,full,logistic,diff_two_posterior,True,335,67,335,67,0.1783303163343792,fitted
M,2018,full,logistic,diff_two_uncertainty,True,335,67,335,67,-0.1280424136149936,fitted
M,2018,full,logistic,diff_three_posterior,True,335,67,335,67,-0.102100881838855,fitted
M,2018,full,logistic,diff_three_uncertainty,True,335,67,335,67,-0.2622317880854978,fitted
M,2018,full,logistic,diff_free_posterior,True,335,67,335,67,0.0090979042473687,fitted
M,2018,full,logistic,diff_free_uncertainty,True,335,67,335,67,-0.0786968125522382,fitted
M,2018,full,logistic,diff_opp_two_posterior,True,335,67,335,67,-0.0233140641224923,fitted
M,2018,full,logistic,diff_opp_two_uncertainty,True,335,67,335,67,-0.0755236938513593,fitted
M,2018,full,logistic,diff_opp_three_posterior,True,335,67,335,67,0.1382796838124718,fitted
M,2018,full,logistic,diff_opp_three_uncertainty,True,335,67,335,67,0.0117695934788288,fitted
M,2018,full,logistic,diff_opp_free_posterior,True,335,67,335,67,0.1984870772799314,fitted
M,2018,full,logistic,diff_opp_free_uncertainty,True,335,67,335,67,0.1173726037886015,fitted
M,2018,full,logistic,diff_tempo,True,335,67,335,67,-0.2262646055406772,fitted
M,2018,full,logistic,diff_tempo_sd,True,335,67,335,67,-0.3109791541560219,fitted
M,2018,full,logistic,diff_three_dependence,True,335,67,335,67,-0.0407239732403448,fitted
M,2018,full,logistic,diff_possession_gap,True,335,67,335,67,-0.0672911888262657,fitted
M,2018,full,logistic,diff_clean_coverage,True,335,67,335,67,0.2891444436798014,fitted
M,2018,full,logistic,diff_elo,True,335,67,335,67,0.2804987906288425,fitted
M,2018,full,logistic,diff_elo_mov,True,335,67,335,67,0.0811743496722297,fitted
M,2018,full,logistic,diff_elo_change,True,335,67,335,67,-0.0241380172607159,fitted
M,2018,full,logistic,diff_elo_mov_change,True,335,67,335,67,-0.2774560100452014,fitted
M,2018,full,logistic,diff_prior_wins,True,335,67,335,67,0.5032386428461594,fitted
M,2018,full,logistic,diff_prior_appearances,True,335,67,335,67,-0.1663958863025901,fitted
M,2018,full,logistic,diff_prior_seed,True,335,67,335,67,-0.0430603372804767,fitted
M,2018,full,logistic,diff_te_team_mean,True,335,67,335,67,-0.1600164758465365,fitted
M,2018,full,logistic,diff_te_team_uncertainty,True,335,67,335,67,-0.0511399153763721,fitted
M,2018,full,logistic,diff_te_team_support,True,335,67,335,67,-0.206923487897444,fitted
M,2018,full,logistic,diff_te_seed_mean,True,335,67,335,67,0.1735237150515761,fitted
M,2018,full,logistic,diff_te_seed_uncertainty,True,335,67,335,67,-0.208227253897909,fitted
M,2018,full,logistic,diff_te_seed_support,True,335,67,335,67,-0.0422464888786442,fitted
M,2018,full,logistic,pace_strength,True,335,67,335,67,0.1161416401055172,fitted
M,2018,full,logistic,uncertainty_strength,True,335,67,335,67,0.0883877299369658,fitted
M,2018,full,logistic,three_variance_strength,True,335,67,335,67,-0.0125555746231377,fitted
M,2018,full,logistic,shooting_style,True,335,67,335,67,-0.0608504291706415,fitted
M,2018,full,logistic,offense_defense,True,335,67,335,67,0.1268764813790578,fitted
M,2018,full,logistic,recent_offense_defense,True,335,67,335,67,0.3122983111976261,fitted
M,2019,full,logistic,diff_seed,True,402,67,402,67,0.2428625465387217,fitted
M,2019,full,logistic,diff_strength,True,402,67,402,67,0.0931967937796339,fitted
M,2019,full,logistic,diff_schedule_strength,True,402,67,402,67,0.487127310990316,fitted
M,2019,full,logistic,diff_win_rate,True,402,67,402,67,0.1493968107693599,fitted
M,2019,full,logistic,diff_margin,True,402,67,402,67,-0.1040220435276196,fitted
M,2019,full,logistic,diff_margin_sd,True,402,67,402,67,0.104541724444495,fitted
M,2019,full,logistic,diff_efg,True,402,67,402,67,0.0441976174768458,fitted
M,2019,full,logistic,diff_tov,True,402,67,402,67,0.0346686439234567,fitted
M,2019,full,logistic,diff_orb,True,402,67,402,67,-0.0578319919835382,fitted
M,2019,full,logistic,diff_ftr,True,402,67,402,67,-0.1338474231818211,fitted
M,2019,full,logistic,diff_three_rate,True,402,67,402,67,0.0168850957486055,fitted
M,2019,full,logistic,diff_opp_efg,True,402,67,402,67,-0.083489754589026,fitted
M,2019,full,logistic,diff_opp_tov,True,402,67,402,67,0.2388831385756522,fitted
M,2019,full,logistic,diff_opp_orb,True,402,67,402,67,-0.0159175646018677,fitted
M,2019,full,logistic,diff_opp_ftr,True,402,67,402,67,-0.2499628798968384,fitted
M,2019,full,logistic,diff_opp_three_rate,True,402,67,402,67,-0.0486412822324047,fitted
M,2019,full,logistic,diff_detailed_coverage,False,402,67,402,67,,no_training_signal
M,2019,full,logistic,diff_recent_strength,True,402,67,402,67,0.0112877356403507,fitted
M,2019,full,logistic,diff_strength_change,True,402,67,402,67,-0.1268662374771884,fitted
M,2019,full,logistic,matchup_efg,True,402,67,402,67,0.1374451927847033,fitted
M,2019,full,logistic,matchup_tov,True,402,67,402,67,-0.1974692912547333,fitted
M,2019,full,logistic,matchup_orb,True,402,67,402,67,0.162659600747056,fitted
M,2019,full,logistic,matchup_ftr,True,402,67,402,67,-0.0546778670342052,fitted
