Gender,model,candidate,baseline,season_count,brier_delta,ci_low,ci_high
M,logistic,full,without_interactions,5,2.865286760282623e-05,-0.005954436859954776,0.005235333492432256
W,hist,adjusted,strength,5,0.0040627939878912596,-0.0038121651989481316,0.012145171996565582
W,hist,four_factors,strength,5,0.008787565979618264,0.000945611437983907,0.016629520521252623
W,hist,form,strength,5,0.0032583226105455153,-0.005347193579520791,0.011863838800611821
W,hist,shooting,strength,5,0.004093437465157186,-0.003011664401362587,0.011049030591743458
W,hist,tempo,strength,5,0.001969242444504114,-0.0011201852814212354,0.006386527804167398
W,hist,dynamic,strength,5,0.0033553816742920572,-0.0038495463433931934,0.010754309392493375
W,hist,history,strength,5,0.003929137256163707,-0.002463593985891527,0.010457124499069041
W,hist,target_team,strength,5,0.002358589070459937,-0.0023688913916057666,0.006200537123218127
W,hist,target_seed,strength,5,0.0027185021492281214,0.0005424446118941576,0.0049261399734504205
W,hist,ball_control,strength,5,0.0015477652782703423,-0.0033810487964245363,0.007495614396403362
W,hist,schedule_context,strength,5,9.081461701540257e-05,-0.004750172083905701,0.003991669797657764
W,hist,scoring_shape,strength,5,0.0026203122519371383,-0.0021009696383446053,0.005707292439336426
W,hist,interactions,strength,5,0.0049517687910470305,5.2070460865491326e-05,0.010517242512412778
W,hist,full,legacy_full,5,0.002708532882790286,-0.0043101474180501365,0.009150181926294024
W,hist,full,without_adjusted,5,0.00010376913182103906,-0.0014883008454783051,0.0013051834190396993
W,hist,full,without_four_factors,5,0.0011283856074647109,-0.0002240357199237117,0.002787835687750382
W,hist,full,without_form,5,-0.0003286623764125965,-0.002677888710709874,0.001845950510278576
W,hist,full,without_shooting,5,0.0008129134172147369,-0.0012868388032208583,0.0021432822632862112
W,hist,full,without_tempo,5,0.0003497197450016873,-0.00037015479200125476,0.0010695942820046294
W,hist,full,without_dynamic,5,0.00047785956038352026,-0.0025332794986124736,0.004434828580124178
W,hist,full,without_history,5,0.0012543340331158134,-0.00036615429869093575,0.0034697087128154106
W,hist,full,without_target_team,5,5.632612074397101e-06,-0.0008869383735101365,0.0007216265376174546
W,hist,full,without_target_seed,5,0.0003653540947236455,5.944709804183429e-05,0.0007563897515346271
W,hist,full,without_ball_control,5,-0.002299088869391059,-0.004751766932628844,0.0002189515004636236
W,hist,full,without_schedule_context,5,0.0004095768221726805,-0.000910005263094466,0.0017291589074398268
W,hist,full,without_scoring_shape,5,-0.0010000457712113094,-0.00128998015053381,-0.0007520218921498824
W,hist,full,without_interactions,5,-0.00021136121366299525,-0.0014418119352032526,0.001107718481090733
W,logistic,adjusted,strength,5,0.0023403263230897748,0.0007035040337053164,0.004954482036778046
W,logistic,four_factors,strength,5,0.006012273770684102,0.0016820035624730023,0.012325753118777207
W,logistic,form,strength,5,0.004689930498628382,0.0009446139320723908,0.008636777739785112
W,logistic,shooting,strength,5,0.008492452344649282,0.0006308621854058483,0.01733011666798224
W,logistic,tempo,strength,5,0.00358537031477265,0.001936908404967523,0.005539881796853526
W,logistic,dynamic,strength,5,-0.0007107329174067213,-0.004123433825913346,0.0023178532843513766
W,logistic,history,strength,5,0.0049341023409299415,-0.0008418408821091837,0.01414698400989132
W,logistic,target_team,strength,5,0.0022602150655806333,-0.0006575304844213128,0.007493516599385156
W,logistic,target_seed,strength,5,0.0004771669210214659,-0.0003981651267439589,0.001702738990582835
W,logistic,ball_control,strength,5,0.0012922590959023763,-0.005176970398604381,0.009728837170471554
W,logistic,schedule_context,strength,5,0.002937724082225782,-0.004608439168412371,0.009744011965203875
W,logistic,scoring_shape,strength,5,0.0012941064934939516,6.385243095068648e-05,0.003243945247861706
W,logistic,interactions,strength,5,0.004040280407445574,0.0021822226704930918,0.006957315685530279
W,logistic,full,legacy_full,5,0.014648839167955171,-0.0026244518419711684,0.02843806580667327
W,logistic,full,without_adjusted,5,0.0004926498643123927,2.8565289429284276e-05,0.0009567344391955012
W,logistic,full,without_four_factors,5,0.0005226429266922085,-0.0007680702879467032,0.001609881992593242
W,logistic,full,without_form,5,0.0007528609912240218,-0.003747785613109532,0.004283983884059558
W,logistic,full,without_shooting,5,0.0031347875036648633,-0.003240409296764954,0.00985900626064276
W,logistic,full,without_tempo,5,0.0012672913205426261,0.0002587543190253279,0.0022758283220599244
W,logistic,full,without_dynamic,5,-0.002546497545265563,-0.0052449887520591215,7.815258389807138e-05
W,logistic,full,without_history,5,0.00185829557668167,-0.00018302587530923575,0.003899617028672576
W,logistic,full,without_target_team,5,0.0001503458015863966,-0.000635663974952846,0.0009363555781256392
W,logistic,full,without_target_seed,5,5.104917346177136e-05,-0.0002643210007549761,0.0002687493173039139
W,logistic,full,without_ball_control,5,-0.004682327874195705,-0.010298807249161483,0.002119898969742798
W,logistic,full,without_schedule_context,5,0.0029864575297443834,-0.003924172582071723,0.00989708764156049
W,logistic,full,without_scoring_shape,5,0.000514258687956273,-0.001044140380516812,0.002015230763592219
W,logistic,full,without_interactions,5,0.0012477726956465012,-0.000535387893585891,0.003383694193844084
