Gender,block,model,macro_season_brier,seasons,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,without_dynamic,hist,0.2013748392599089,5,334,0.20131340453945423,0.5869060603536495,0.7624819624819625,0.7192884292796022,0.6318681318681318,0.7467532467532467,0.6845238095238095,0.08007748316525214
M,without_dynamic,logistic,0.2067867201177615,5,334,0.2065285237512425,0.6155591847507136,0.7673520923520923,0.7298190676445476,0.6436781609195402,0.7272727272727273,0.6829268292682927,0.10610822140480886
M,without_form,hist,0.19532291710762673,5,334,0.1952502182940792,0.5727883592616838,0.7753246753246753,0.7311563443861754,0.6432432432432432,0.7727272727272727,0.7020648967551623,0.08434849674994734
M,without_form,logistic,0.20523866010846317,5,334,0.20500336166429745,0.6086570980631464,0.7634559884559885,0.7263200333330531,0.6292134831460674,0.7272727272727273,0.6746987951807228,0.09327993960195788
M,without_four_factors,hist,0.1978730935858991,5,334,0.19780387209749903,0.5779661510926419,0.7730519480519481,0.7283483936081414,0.6324324324324324,0.7597402597402597,0.6902654867256637,0.0838656948155469
M,without_four_factors,logistic,0.20698810596569453,5,334,0.2067398959073591,0.615553128719374,0.7672077922077922,0.7253816888304313,0.64,0.7272727272727273,0.6808510638297872,0.11230693200325131
M,without_history,hist,0.20136500466201185,5,334,0.2012919802143098,0.5876564539552706,0.7626262626262627,0.70810126628435,0.6208791208791209,0.7337662337662337,0.6726190476190477,0.07755849509454173
M,without_history,logistic,0.20712017777228767,5,334,0.2068605893357753,0.6156187695496499,0.7617965367965368,0.7252113181522336,0.6511627906976745,0.7272727272727273,0.6871165644171779,0.09712582068422189
M,without_interactions,hist,0.19794178071036408,5,334,0.1978680840559953,0.5790724566138563,0.7716089466089466,0.7261948609746447,0.6298342541436464,0.7402597402597403,0.6805970149253732,0.0935583160637052
M,without_interactions,logistic,0.2072813348748932,5,334,0.2070513361365468,0.6114281253601965,0.7655122655122655,0.7318839482503356,0.6477272727272727,0.7402597402597403,0.6909090909090909,0.10279786592132721
M,without_shooting,hist,0.19822687027536728,5,334,0.19813230407226362,0.5794199675836831,0.7695887445887447,0.7216566938840596,0.6467391304347826,0.7727272727272727,0.7041420118343196,0.08379005369940594
M,without_shooting,logistic,0.20471225106821983,5,334,0.2044502980722593,0.6042062649553325,0.7674242424242423,0.7271808444078993,0.6573033707865169,0.7597402597402597,0.7048192771084337,0.09649512896398049
M,without_tempo,hist,0.199649777983543,5,334,0.1995710136445549,0.5840262719129926,0.7660533910533911,0.7178475603735847,0.639344262295082,0.7597402597402597,0.6943620178041543,0.06847854786439977
M,without_tempo,logistic,0.2020839527003159,5,334,0.20199165356388163,0.597916246480286,0.7693362193362193,0.7245372716552614,0.6348314606741573,0.7337662337662337,0.6807228915662651,0.09075447687558438
W,adjusted,hist,0.15501808270055845,5,315,0.15501808270055845,0.467951608812693,0.8578972829154238,0.850427771445676,0.7682926829268293,0.802547770700637,0.7850467289719626,0.053424900193557986
W,adjusted,logistic,0.14664784155029878,5,315,0.14664784155029878,0.440243230229944,0.8725711521406111,0.8716117020611336,0.7696969696969697,0.8089171974522293,0.7888198757763976,0.048514866447344686
W,dynamic,hist,0.15431067038695925,5,315,0.15431067038695925,0.4637883029978717,0.8603765218092397,0.8546013534199548,0.7515151515151515,0.7898089171974523,0.7701863354037267,0.06080809805309669
W,dynamic,logistic,0.14359678230980227,5,315,0.14359678230980227,0.4297540551044568,0.8791824558574538,0.8838201156372355,0.7804878048780488,0.8152866242038217,0.7975077881619937,0.08477767753942059
