Gender,Architecture,Model,ModelDisplay,CommonSeasons,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty,StandardError,OneSELimit,WithinOneSE,RawBest,Recommended
M,pooled_common,lgb_margin,LightGBM margin,"[2016, 2017, 2018, 2019, 2021]",9,334,5,0.18561765286448081,0.18555364750838926,0.019175142448806307,0.20699544179906648,0.5512324147677855,0.7953823953823954,0.7740905411620737,0.772954080278562,0.718562874251497,0.722005772005772,0.6704545454545454,0.7662337662337663,0.7151515151515152,0.4433084374041329,0.5,122,58,36,118,0.46107784431137727,0.5269461077844312,-0.16493653948909678,0.8787627924917609,0.052486612923758065,0.136026783004984,0.004954545220493361,0.06763019799205265,0.24848506579655064,0.008575384398754536,0.19452243248690718,True,False,False
M,pooled_common,xgb_margin,XGBoost margin,"[2016, 2017, 2018, 2019, 2021]",8,334,5,0.18571362486355628,0.18564516687016122,0.02115230378907572,0.20857859465751796,0.5511109591465182,0.7952020202020202,0.7748928006714131,0.7736097888560527,0.7275449101796407,0.7308080808080808,0.68,0.7727272727272727,0.723404255319149,0.46074436449884537,0.5,124,56,35,119,0.46107784431137727,0.5239520958083832,-0.1628758353530059,0.8674544355994105,0.057300299296551685,0.10797542509460989,0.004204811634548913,0.06359548666604158,0.24848506579655064,0.009459597830619936,0.19452243248690718,True,False,False
M,separate_gender,lgb_margin,LightGBM margin,"[2016, 2017, 2018, 2019, 2021]",9,334,5,0.1864174564886922,0.18634689789319103,0.01886018393093892,0.2099840273860917,0.5553865861103578,0.790764790764791,0.7559840510890412,0.7544633463424008,0.7305389221556886,0.7312409812409812,0.6951219512195121,0.7402597402597403,0.7169811320754716,0.46115298857799614,0.5,130,50,40,114,0.46107784431137727,0.49101796407185627,-0.12351502487490007,0.8846815076669364,0.08463835632524558,0.18700676545278738,0.01016543951731888,0.07119792884051616,0.24848506579655064,0.008434530667545724,0.19452243248690718,True,False,False
M,separate_gender,elastic_logistic,Rich elastic-net logistic,"[2016, 2017, 2018, 2019, 2021]",3,334,5,0.18679921336650537,0.18671039954105978,0.02102948909224614,0.2164630310653366,0.5505996435676102,0.7944805194805195,0.7701025989822741,0.7689954940102036,0.7125748502994012,0.7155122655122655,0.6666666666666666,0.7532467532467533,0.7073170731707317,0.430094595677929,0.5,122,58,38,116,0.46107784431137727,0.5209580838323353,-0.24135039317748794,0.9423059564701983,0.06841916378314224,0.1508100705616402,0.007121735356402649,0.0691352093596917,0.24848506579655064,0.009404673428470543,0.19452243248690718,True,False,True
M,pooled_common,elastic_logistic,Rich elastic-net logistic,"[2016, 2017, 2018, 2019, 2021]",3,334,5,0.18736829872832156,0.187269623061279,0.023495313980438404,0.22032597152053224,0.5520417515692204,0.7946608946608946,0.7738084449444232,0.7727284279438321,0.6946107784431138,0.6979076479076479,0.6477272727272727,0.7402597402597403,0.6909090909090909,0.3951885095221113,0.5,118,62,40,114,0.46107784431137727,0.5269461077844312,-0.23644829903515052,0.8506925364846165,0.05811408926205831,0.10586158668293666,0.0045625887017113126,0.06374758887872849,0.24848506579655064,0.010507423842592286,0.19452243248690718,True,False,False
M,separate_gender,hist_classifier,Histogram boosting,"[2016, 2017, 2018, 2019, 2021]",4,334,5,0.1882177544617304,0.1881811638185979,0.02099986056731018,0.21718285742001525,0.5568146574530639,0.7931818181818182,0.7559956564147483,0.7519763703575776,0.7215568862275449,0.7233766233766233,0.6804733727810651,0.7467532467532467,0.7120743034055728,0.44542953051994083,0.5,126,54,39,115,0.46107784431137727,0.5059880239520959,-0.1683796818972162,0.7488828873328285,0.04580962284231123,0.18039066748440247,0.0062202429510820004,0.0661732189021042,0.24848506579655064,0.009391423149304572,0.19452243248690718,True,False,False
M,separate_gender,torch_mlp,PyTorch MLP,"[2016, 2017, 2018, 2019, 2021]",10,334,5,0.19168688929111652,0.1915726494019347,0.028188213191912993,0.22984301227785867,0.5621090465592843,0.7817460317460317,0.7425318905550624,0.7409578807596542,0.6976047904191617,0.7006854256854257,0.6514285714285715,0.7402597402597403,0.6930091185410334,0.40061283208925863,0.5,119,61,40,114,0.46107784431137727,0.5239520958083832,-0.1707172674969164,0.8337116708802845,0.05898016381002022,0.166406989042442,0.005772454416317351,0.06088966835613732,0.24848506579655064,0.012606152172274754,0.19452243248690718,True,False,False
M,pooled_common,tensorflow_mlp,TensorFlow MLP,"[2016, 2017, 2018, 2019, 2021]",11,334,5,0.19252498377801971,0.19244502517268855,0.023745790878546457,0.21923115795863168,0.5637969012425006,0.7756132756132755,0.752111761974145,0.7509203699698712,0.6766467065868264,0.6788961038961039,0.6337209302325582,0.7077922077922078,0.6687116564417178,0.35686648254678427,0.5,117,63,45,109,0.46107784431137727,0.5149700598802395,-0.2004226213474147,0.8790195318167042,0.061763592128513616,0.1498945951461792,0.006118466378508865,0.06249341273902929,0.24848506579655064,0.010619440516784866,0.19452243248690718,True,False,False
M,separate_gender,tensorflow_mlp,TensorFlow MLP,"[2016, 2017, 2018, 2019, 2021]",11,334,5,0.1937660107040957,0.19363321070744793,0.029852850574927935,0.23812120958446056,0.5680552486368382,0.7776334776334777,0.7459915447789915,0.7447631934685461,0.6916167664670658,0.6965367965367966,0.639344262295082,0.7597402597402597,0.6943620178041543,0.39369188511625874,0.5,114,66,37,117,0.46107784431137727,0.5479041916167665,-0.24305764815733166,0.8281784728273937,0.07622644975279533,0.16833101629334335,0.008906899313706551,0.06086832067716371,0.24848506579655064,0.013350600641536509,0.19452243248690718,True,False,False
M,pooled_common,torch_mlp,PyTorch MLP,"[2016, 2017, 2018, 2019, 2021]",10,334,5,0.19616511101618792,0.1960250416483953,0.0303870054688964,0.24294827985891887,0.5727079866811156,0.768975468975469,0.7477665251989561,0.7465954818925933,0.6646706586826348,0.6691919191919192,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.3387261589957917,0.5,110,70,42,112,0.46107784431137727,0.5449101796407185,-0.20312802644209554,0.7785910359317462,0.07631150704688633,0.17028684598026855,0.00904579789697691,0.062061122239813804,0.24848506579655064,0.013589481972222043,0.19452243248690718,False,False,False
