Architecture,Universe,Model,Gender,SeedGapBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
pooled_common,rich,lgb_margin,M,1-2,57,0.22194972528508186,0.0,0.61001355732959
pooled_common,rich,lgb_margin,M,3-5,87,0.23313920015544407,0.034482758620689655,0.6595988395313871
pooled_common,rich,lgb_margin,M,6-8,74,0.15838405889714566,0.02702702702702703,0.7673043929140522
pooled_common,rich,lgb_margin,M,9-12,52,0.16817684496279905,0.11538461538461539,0.8287582303293143
pooled_common,rich,lgb_margin,M,13+,40,0.07096824862686162,0.075,0.9525796234345997
pooled_common,rich,lgb_margin,W,0,5,0.31728857345564043,0.2,0.6675606846314116
pooled_common,rich,lgb_margin,W,1-2,64,0.2590659235086193,0.0625,0.6721562155566361
pooled_common,rich,lgb_margin,W,3-5,102,0.18632756862079772,0.058823529411764705,0.7478658102045237
pooled_common,rich,lgb_margin,W,6-8,59,0.16499002805215449,0.13559322033898305,0.8681840166144634
pooled_common,rich,lgb_margin,W,9-12,45,0.028903737434043415,0.022222222222222223,0.9149051818127715
pooled_common,rich,lgb_margin,W,13+,40,0.0010864061864811574,0.0,0.9822809303418755
pooled_common,rich,ridge_margin,M,0,24,0.222628649944701,0.0,0.6104022424578317
pooled_common,rich,ridge_margin,M,1-2,57,0.2208269704876432,0.0,0.6173205488708021
pooled_common,rich,ridge_margin,M,3-5,87,0.23140379057732377,0.022988505747126436,0.6660712661494433
pooled_common,rich,ridge_margin,M,6-8,74,0.16129012517715288,0.05405405405405406,0.7626742002539677
pooled_common,rich,ridge_margin,M,9-12,52,0.1690751379695936,0.11538461538461539,0.8332549310663572
pooled_common,rich,ridge_margin,M,13+,40,0.06960427814142911,0.075,0.9603266179850566
pooled_common,rich,ridge_margin,W,0,5,0.38538844869579114,0.2,0.6965232319379574
pooled_common,rich,ridge_margin,W,1-2,64,0.2595322114496974,0.046875,0.6741927365254912
pooled_common,rich,ridge_margin,W,3-5,102,0.19459480374638827,0.06862745098039216,0.7557966370578062
pooled_common,rich,ridge_margin,W,6-8,59,0.15472773251716881,0.15254237288135594,0.8581073500755679
pooled_common,rich,ridge_margin,W,9-12,45,0.027597044695941136,0.022222222222222223,0.9074987841964202
pooled_common,rich,ridge_margin,W,13+,40,0.001175360471827818,0.0,0.9817900129741692
pooled_common,rich,seed_logistic,M,0,24,0.25,0.0,0.5
pooled_common,rich,seed_logistic,M,1-2,57,0.2479347856832346,0.0,0.5468584401042837
pooled_common,rich,seed_logistic,M,3-5,87,0.255443060262114,0.0,0.675172647696802
pooled_common,rich,seed_logistic,M,6-8,74,0.17779182353937947,0.10810810810810811,0.8090323849102935
pooled_common,rich,seed_logistic,M,9-12,52,0.18337869695542594,0.23076923076923078,0.8706564814425432
pooled_common,rich,seed_logistic,M,13+,40,0.06916720963714815,0.075,0.9370264138560742
pooled_common,rich,seed_logistic,W,0,5,0.25,0.0,0.5
pooled_common,rich,seed_logistic,W,1-2,64,0.24635960718437283,0.0,0.541323937708512
pooled_common,rich,seed_logistic,W,3-5,102,0.20184731617215507,0.0,0.6712362801327425
pooled_common,rich,seed_logistic,W,6-8,59,0.15134982889763698,0.0847457627118644,0.8071842817431789
pooled_common,rich,seed_logistic,W,9-12,45,0.033090271747266656,0.022222222222222223,0.8700148733953635
pooled_common,rich,seed_logistic,W,13+,40,0.0041007739635306045,0.0,0.9370294904801995
pooled_common,rich,tensorflow_mlp,M,0,24,0.23956990615397597,0.0,0.5883351002509395
pooled_common,rich,tensorflow_mlp,M,1-2,57,0.24205013759553792,0.0,0.5941247405451641
pooled_common,rich,tensorflow_mlp,M,3-5,87,0.24422761921485783,0.022988505747126436,0.634503802691383
pooled_common,rich,tensorflow_mlp,M,6-8,74,0.16473146251173984,0.04054054054054054,0.7269921589491738
pooled_common,rich,tensorflow_mlp,M,9-12,52,0.16243090635507257,0.057692307692307696,0.8023428237782075
pooled_common,rich,tensorflow_mlp,M,13+,40,0.07114411472529372,0.075,0.9590031572850422
pooled_common,rich,tensorflow_mlp,W,0,5,0.3852161801186269,0.2,0.6401885405182839
pooled_common,rich,tensorflow_mlp,W,1-2,64,0.2878683404866522,0.09375,0.6716770322964294
pooled_common,rich,tensorflow_mlp,W,3-5,102,0.1913709703165349,0.049019607843137254,0.7454409934397713
pooled_common,rich,tensorflow_mlp,W,6-8,59,0.15814946169043664,0.13559322033898305,0.8624052673625617
pooled_common,rich,tensorflow_mlp,W,9-12,45,0.02748028877741466,0.022222222222222223,0.9203450640870465
pooled_common,rich,tensorflow_mlp,W,13+,40,0.0005657319598235418,0.0,0.9812327605206519
pooled_common,rich,torch_mlp,M,0,24,0.26103718902622414,0.0,0.6171301727493604
pooled_common,rich,torch_mlp,M,1-2,57,0.24897351454150954,0.0,0.6047945566671459
pooled_common,rich,torch_mlp,M,3-5,87,0.24353876645745384,0.022988505747126436,0.6531336376893109
pooled_common,rich,torch_mlp,M,6-8,74,0.16479080882686792,0.02702702702702703,0.7388549810778853
pooled_common,rich,torch_mlp,M,9-12,52,0.16889461130024067,0.11538461538461539,0.8199831183749036
pooled_common,rich,torch_mlp,M,13+,40,0.07127671806173462,0.075,0.9717477553582284
pooled_common,rich,torch_mlp,W,0,5,0.3926059412068517,0.2,0.6843782885000109
pooled_common,rich,torch_mlp,W,1-2,64,0.28691052007457246,0.09375,0.684764935504063
pooled_common,rich,torch_mlp,W,3-5,102,0.19176303164907577,0.058823529411764705,0.7527971297785566
pooled_common,rich,torch_mlp,W,6-8,59,0.16875243419326502,0.13559322033898305,0.8637398109076766
pooled_common,rich,torch_mlp,W,9-12,45,0.02502825572341843,0.022222222222222223,0.9304735852301949
pooled_common,rich,torch_mlp,W,13+,40,0.00025059205177130025,0.0,0.9872246605955297
pooled_common,rich,xgb_classifier,M,0,24,0.22892264903186257,0.0,0.5675532550861438
pooled_common,rich,xgb_classifier,M,1-2,57,0.23354602926591775,0.0,0.5980666507231561
pooled_common,rich,xgb_classifier,M,3-5,87,0.22508185162584604,0.022988505747126436,0.6570611441957539
pooled_common,rich,xgb_classifier,M,6-8,74,0.15465454451068564,0.05405405405405406,0.7788888104511676
pooled_common,rich,xgb_classifier,M,9-12,52,0.16461982404364334,0.15384615384615385,0.8643424274543157
pooled_common,rich,xgb_classifier,M,13+,40,0.0693409456898936,0.075,0.9444406435359269
pooled_common,rich,xgb_classifier,W,0,5,0.3390426525005454,0.2,0.6199054539203643
