Architecture,Universe,Model,Gender,TournamentDayBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
pooled_common,rich,tensorflow_mlp,W,final_or_other,7,0.14633215068369454,0.0,0.7410784569968071
pooled_common,rich,torch_mlp,M,play_in,16,0.21332377201645725,0.0,0.6278333347290754
pooled_common,rich,torch_mlp,M,rounds_1_2,235,0.18134629034923352,0.05106382978723404,0.7478211876371519
pooled_common,rich,torch_mlp,M,rounds_3_4,64,0.25102146720885543,0.015625,0.682947301218519
pooled_common,rich,torch_mlp,M,semifinal,14,0.1511690282004817,0.0,0.6877210730952876
pooled_common,rich,torch_mlp,M,final_or_other,5,0.25221300601146834,0.0,0.6342613145709037
pooled_common,rich,torch_mlp,W,rounds_1_2,176,0.11903768242352286,0.03977272727272727,0.8273149818262688
pooled_common,rich,torch_mlp,W,rounds_3_4,112,0.20891873656182788,0.09821428571428571,0.8060424607080806
pooled_common,rich,torch_mlp,W,semifinal,20,0.28103126516443855,0.2,0.7558697637636215
pooled_common,rich,torch_mlp,W,final_or_other,7,0.14395216018377457,0.0,0.7645019255578518
pooled_common,rich,xgb_classifier,M,play_in,16,0.21507801867355775,0.0,0.5769809717312455
pooled_common,rich,xgb_classifier,M,rounds_1_2,235,0.16993925500840454,0.05531914893617021,0.7576706209398331
pooled_common,rich,xgb_classifier,M,rounds_3_4,64,0.22701223157123662,0.046875,0.694852763437666
pooled_common,rich,xgb_classifier,M,semifinal,14,0.14847980349598972,0.07142857142857142,0.7444827261247805
pooled_common,rich,xgb_classifier,M,final_or_other,5,0.23644400255431205,0.0,0.6117948412895202
pooled_common,rich,xgb_classifier,W,rounds_1_2,176,0.11323318466051308,0.005681818181818182,0.7908508321482011
pooled_common,rich,xgb_classifier,W,rounds_3_4,112,0.1895054661272204,0.10714285714285714,0.7870376855633887
pooled_common,rich,xgb_classifier,W,semifinal,20,0.2449073291585711,0.15,0.7445402751676738
pooled_common,rich,xgb_classifier,W,final_or_other,7,0.11193298259443618,0.0,0.7122502800609384
pooled_common,rich,xgb_margin,M,play_in,16,0.22745771346514176,0.0,0.5976156301550385
pooled_common,rich,xgb_margin,M,rounds_1_2,235,0.17233921337351604,0.03829787234042553,0.7535840295106224
pooled_common,rich,xgb_margin,M,rounds_3_4,64,0.22746251735990916,0.046875,0.702264440762218
pooled_common,rich,xgb_margin,M,semifinal,14,0.13563931502076437,0.0,0.7280232547959754
pooled_common,rich,xgb_margin,M,final_or_other,5,0.2819791310180825,0.0,0.6828884756819453
pooled_common,rich,xgb_margin,W,rounds_1_2,176,0.11322456455143524,0.011363636363636364,0.8178932691586368
pooled_common,rich,xgb_margin,W,rounds_3_4,112,0.20051335195046677,0.125,0.8018167271247993
pooled_common,rich,xgb_margin,W,semifinal,20,0.24782498223236393,0.2,0.7790446171626487
pooled_common,rich,xgb_margin,W,final_or_other,7,0.10587574398800377,0.0,0.7758048677972427
separate_gender,rich,constant_probability,M,play_in,16,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,rounds_1_2,235,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,rounds_3_4,64,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,semifinal,14,0.25,0.0,0.5
separate_gender,rich,constant_probability,M,final_or_other,5,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,rounds_1_2,176,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,rounds_3_4,112,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,semifinal,20,0.25,0.0,0.5
separate_gender,rich,constant_probability,W,final_or_other,7,0.25,0.0,0.5
separate_gender,rich,constrained_ensemble,M,play_in,16,0.17465078263028852,0.0,0.6168380857065159
separate_gender,rich,constrained_ensemble,M,rounds_1_2,235,0.17475028123110978,0.0425531914893617,0.7536514852128438
separate_gender,rich,constrained_ensemble,M,rounds_3_4,64,0.2293158332351285,0.0625,0.6854682404226827
separate_gender,rich,constrained_ensemble,M,semifinal,14,0.1592714111388924,0.0,0.7221015158838842
separate_gender,rich,constrained_ensemble,M,final_or_other,5,0.21158344490807188,0.0,0.6213121623804405
separate_gender,rich,constrained_ensemble,W,rounds_1_2,176,0.10847642944741098,0.028409090909090908,0.82248323254904
separate_gender,rich,constrained_ensemble,W,rounds_3_4,112,0.20319157280735523,0.14285714285714285,0.8089964905458318
separate_gender,rich,constrained_ensemble,W,semifinal,20,0.2691907437179461,0.2,0.7554288316973443
separate_gender,rich,constrained_ensemble,W,final_or_other,7,0.15933684227391773,0.0,0.7624779141173265
separate_gender,rich,elastic_logistic,M,play_in,16,0.20151859292429652,0.0,0.5909841945394874
separate_gender,rich,elastic_logistic,M,rounds_1_2,235,0.17508747911410508,0.03829787234042553,0.7461027739074161
separate_gender,rich,elastic_logistic,M,rounds_3_4,64,0.22933640249521067,0.03125,0.6810573523689527
separate_gender,rich,elastic_logistic,M,semifinal,14,0.15004297090093552,0.0,0.7171609146254403
separate_gender,rich,elastic_logistic,M,final_or_other,5,0.24265740316079118,0.0,0.6305063813924789
separate_gender,rich,elastic_logistic,W,rounds_1_2,176,0.10786179608794345,0.011363636363636364,0.8224344987349717
separate_gender,rich,elastic_logistic,W,rounds_3_4,112,0.19770186256649364,0.125,0.8079581104850929
separate_gender,rich,elastic_logistic,W,semifinal,20,0.24966086552363995,0.2,0.7563031290192157
separate_gender,rich,elastic_logistic,W,final_or_other,7,0.13744449064611025,0.0,0.7428391366930944
separate_gender,rich,elo_seed_logistic,M,play_in,16,0.25,0.0,0.5
separate_gender,rich,elo_seed_logistic,M,rounds_1_2,235,0.19026623137916931,0.04680851063829787,0.7470049015226516
separate_gender,rich,elo_seed_logistic,M,rounds_3_4,64,0.22928906730221976,0.046875,0.6355829873937182
separate_gender,rich,elo_seed_logistic,M,semifinal,14,0.18076465454019688,0.07142857142857142,0.6692377908953598
separate_gender,rich,elo_seed_logistic,M,final_or_other,5,0.22894595768972872,0.0,0.5317511141300202
separate_gender,rich,elo_seed_logistic,W,rounds_1_2,176,0.12088510602599258,0.03409090909090909,0.8251626228797426
separate_gender,rich,elo_seed_logistic,W,rounds_3_4,112,0.20706114499067793,0.125,0.7691652580333298
separate_gender,rich,elo_seed_logistic,W,semifinal,20,0.20802410801999036,0.0,0.6113043214689909
separate_gender,rich,elo_seed_logistic,W,final_or_other,7,0.132853809331984,0.0,0.663706843361907
separate_gender,rich,hist_classifier,M,play_in,16,0.19048433180275726,0.0,0.6127233966325837
separate_gender,rich,hist_classifier,M,rounds_1_2,235,0.17462905982522287,0.06382978723404255,0.7799820115503154
separate_gender,rich,hist_classifier,M,rounds_3_4,64,0.24717379029838776,0.109375,0.7130914272583617
separate_gender,rich,hist_classifier,M,semifinal,14,0.14247330376882764,0.0,0.7596595254686455
separate_gender,rich,hist_classifier,M,final_or_other,5,0.19063630315596086,0.0,0.5977228730666214
separate_gender,rich,hist_classifier,W,rounds_1_2,176,0.11037450140971065,0.03409090909090909,0.8384609832478003
separate_gender,rich,hist_classifier,W,rounds_3_4,112,0.20506578175355591,0.10714285714285714,0.8065858134444311
separate_gender,rich,hist_classifier,W,semifinal,20,0.25768710212390156,0.2,0.7785542081968476
separate_gender,rich,hist_classifier,W,final_or_other,7,0.1520064126932866,0.0,0.8041583538565168
separate_gender,rich,lgb_classifier,M,play_in,16,0.18011494307786474,0.0,0.6037067829558783
separate_gender,rich,lgb_classifier,M,rounds_1_2,235,0.17150999582087517,0.0425531914893617,0.7626378183117729
separate_gender,rich,lgb_classifier,M,rounds_3_4,64,0.23466453658562433,0.078125,0.692678392247231
separate_gender,rich,lgb_classifier,M,semifinal,14,0.13631836383190968,0.0,0.7270073824975049
separate_gender,rich,lgb_classifier,M,final_or_other,5,0.17959241548768134,0.0,0.5836908422036016
separate_gender,rich,lgb_classifier,W,rounds_1_2,176,0.10843516368705024,0.022727272727272728,0.801316824504481
separate_gender,rich,lgb_classifier,W,rounds_3_4,112,0.19711871891490107,0.08928571428571429,0.785742564286683
separate_gender,rich,lgb_classifier,W,semifinal,20,0.23252970578783497,0.2,0.7698007345960269
separate_gender,rich,lgb_classifier,W,final_or_other,7,0.1502546806635531,0.0,0.7270515697859791
separate_gender,rich,lgb_margin,M,play_in,16,0.19122459500069733,0.0,0.6190977086537377
separate_gender,rich,lgb_margin,M,rounds_1_2,235,0.17674168033501955,0.0425531914893617,0.7504288447453823
separate_gender,rich,lgb_margin,M,rounds_3_4,64,0.22612171824955926,0.0625,0.6963073771700731
separate_gender,rich,lgb_margin,M,semifinal,14,0.14329155524720832,0.0,0.73336837625882
separate_gender,rich,lgb_margin,M,final_or_other,5,0.2336207512304696,0.0,0.6413493016046088
separate_gender,rich,lgb_margin,W,rounds_1_2,176,0.11350038790052565,0.022727272727272728,0.8172364636611598
separate_gender,rich,lgb_margin,W,rounds_3_4,112,0.20631294644009426,0.11607142857142858,0.7992047367644278
separate_gender,rich,lgb_margin,W,semifinal,20,0.2746644106619605,0.2,0.7753404127939176
separate_gender,rich,lgb_margin,W,final_or_other,7,0.1481456253353269,0.0,0.7332150600368157
separate_gender,rich,ridge_margin,M,play_in,16,0.18409031197808828,0.0,0.613823892519938
separate_gender,rich,ridge_margin,M,rounds_1_2,235,0.17163207573358513,0.03404255319148936,0.7507455469087342
separate_gender,rich,ridge_margin,M,rounds_3_4,64,0.22506944663989562,0.046875,0.6894751022499225
separate_gender,rich,ridge_margin,M,semifinal,14,0.14371949738657377,0.0,0.7148456880243513
separate_gender,rich,ridge_margin,M,final_or_other,5,0.2592266369696702,0.0,0.6456569326170118
separate_gender,rich,ridge_margin,W,rounds_1_2,176,0.11674554681739541,0.017045454545454544,0.8225042823295127
separate_gender,rich,ridge_margin,W,rounds_3_4,112,0.204682920585303,0.16071428571428573,0.8078722354786668
separate_gender,rich,ridge_margin,W,semifinal,20,0.26825324428796193,0.2,0.7815542430686
separate_gender,rich,ridge_margin,W,final_or_other,7,0.12694536993255187,0.0,0.7861053432730397
separate_gender,rich,seed_logistic,M,play_in,16,0.25,0.0,0.5
separate_gender,rich,seed_logistic,M,rounds_1_2,235,0.19027605450079194,0.04680851063829787,0.7470479568902483
separate_gender,rich,seed_logistic,M,rounds_3_4,64,0.22927349773719147,0.046875,0.6356978757539764
separate_gender,rich,seed_logistic,M,semifinal,14,0.1807381753695779,0.07142857142857142,0.6693094702703613
separate_gender,rich,seed_logistic,M,final_or_other,5,0.22895606460896628,0.0,0.5318476170301437
separate_gender,rich,seed_logistic,W,rounds_1_2,176,0.12086828106772489,0.03409090909090909,0.8252032464082006
