OuterFoldID,Model,Status,LoadedFromCheckpoint,MacroSeasonBrier,FeatureCount,CalibrationMethod,Architecture,TrainingContext,ValidationSeason,ElapsedSeconds,EndRSSMB
rich_W_2018,hist_classifier,complete,True,0.155930270537969,63,identity,separate_gender,W,2018,10.973990600000434,775.98828125
rich_W_2018,xgb_classifier,complete,True,0.1543472285824952,63,identity,separate_gender,W,2018,38.64341020000029,776.0703125
rich_W_2018,lgb_classifier,complete,True,0.15236773475956045,63,identity,separate_gender,W,2018,27.125010300000213,776.16015625
rich_W_2018,torch_mlp,complete,True,0.15878829885419274,42,identity,separate_gender,W,2018,33.418571500000326,776.28515625
rich_W_2018,tensorflow_mlp,complete,True,0.15988324320104633,42,identity,separate_gender,W,2018,89.96395519999987,776.4375
rich_W_2018,ridge_margin,complete,True,0.16635561643351682,56,raw_platt,separate_gender,W,2018,10.15775769999982,776.5703125
rich_W_2018,xgb_margin,complete,True,0.16993069141626418,56,raw_platt,separate_gender,W,2018,25.781518400000095,776.6875
rich_W_2018,lgb_margin,complete,True,0.16926619559244532,56,raw_platt,separate_gender,W,2018,27.127472900000612,776.8125
rich_W_2019,constant_probability,complete,True,0.25,0,identity,separate_gender,W,2019,5.484538900000189,776.90625
rich_W_2019,seed_logistic,complete,True,0.13173480692741013,6,identity,separate_gender,W,2019,5.227067300000272,776.94140625
rich_W_2019,elo_seed_logistic,complete,True,0.1317322315467674,18,identity,separate_gender,W,2019,5.187896000000364,777.046875
rich_W_2019,elastic_logistic,complete,True,0.13257875509279043,40,identity,separate_gender,W,2019,44.96935179999946,777.10546875
rich_W_2019,hist_classifier,complete,True,0.13916544718085103,70,temperature,separate_gender,W,2019,10.451041199999963,777.203125
rich_W_2019,xgb_classifier,complete,True,0.1254950687609039,70,identity,separate_gender,W,2019,31.492796700000326,777.3125
rich_W_2019,lgb_classifier,complete,True,0.12655857882574995,70,identity,separate_gender,W,2019,31.11028570000053,777.40234375
rich_W_2019,torch_mlp,complete,True,0.1327304675108235,47,identity,separate_gender,W,2019,33.112672100000054,777.51953125
rich_W_2019,tensorflow_mlp,complete,True,0.1326867455200561,47,identity,separate_gender,W,2019,85.60318170000028,777.62890625
rich_W_2019,ridge_margin,complete,True,0.13265817535926347,63,raw_platt,separate_gender,W,2019,20.0019456,777.7421875
rich_W_2019,xgb_margin,complete,True,0.12389522824656851,63,raw_platt,separate_gender,W,2019,30.88211659999979,777.83203125
rich_W_2019,lgb_margin,complete,True,0.12889752671492988,63,raw_platt,separate_gender,W,2019,32.92071029999988,777.9453125
rich_W_2021,constant_probability,complete,True,0.25,0,identity,separate_gender,W,2021,8.018009399999755,778.06640625
rich_W_2021,seed_logistic,complete,True,0.14275246760471927,6,identity,separate_gender,W,2021,5.813589999999749,778.1953125
rich_W_2021,elo_seed_logistic,complete,True,0.1427492857653792,18,identity,separate_gender,W,2021,5.344492000000173,778.34765625
rich_W_2021,elastic_logistic,complete,True,0.16867305889840686,45,identity,separate_gender,W,2021,42.13570440000058,778.46484375
rich_W_2021,hist_classifier,complete,True,0.16795182913373274,78,temperature,separate_gender,W,2021,10.867381600000044,778.59765625
rich_W_2021,xgb_classifier,complete,True,0.16968981098735655,78,identity,separate_gender,W,2021,37.133985599999505,778.67578125
rich_W_2021,lgb_classifier,complete,True,0.16882759221505772,78,identity,separate_gender,W,2021,35.52185409999947,778.80078125
rich_W_2021,torch_mlp,complete,True,0.17855480530914453,52,identity,separate_gender,W,2021,33.269538999999895,778.91796875
rich_W_2021,tensorflow_mlp,complete,True,0.17445369426583882,52,identity,separate_gender,W,2021,95.7123204999998,779.078125
rich_W_2021,ridge_margin,complete,True,0.17487946805795684,70,raw_platt,separate_gender,W,2021,14.232436100000086,779.18359375
rich_W_2021,xgb_margin,complete,True,0.17395625277347274,70,raw_platt,separate_gender,W,2021,32.9014516999996,779.29296875
rich_W_2021,lgb_margin,complete,True,0.18336563916848664,70,raw_platt,separate_gender,W,2021,31.31956160000027,779.37890625
