Season,Rows,Brier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,Architecture,Universe,Model,EvaluationGender
2018,67,0.21092665394896618,0.6254724036109149,0.7222222222222222,0.7404488490714554,0.7355703056827316,0.6567164179104478,0.6514336917562724,0.6428571428571429,0.5806451612903226,0.6101694915254238,0.3061775078697184,0.5,26,10,13,18,0.4626865671641791,0.417910447761194,pooled_common,rich,tensorflow_mlp,M
2019,67,0.16205631123856518,0.47870617885683764,0.8339382940108893,0.7887667604530083,0.7843101780625398,0.7164179104477612,0.7132486388384756,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.4249575712877051,0.5,28,10,9,20,0.43283582089552236,0.44776119402985076,pooled_common,rich,tensorflow_mlp,M
2021,66,0.21923115795863168,0.6240915289702843,0.7113970588235293,0.7221760545691466,0.7161435449909012,0.6060606060606061,0.6102941176470589,0.5714285714285714,0.75,0.6486486486486487,0.22917462425705282,0.5,16,18,8,24,0.48484848484848486,0.6363636363636364,pooled_common,rich,tensorflow_mlp,M
2016,63,0.16991761557885926,0.5183069046050222,0.844074844074844,0.7780921334845599,0.7714597763300839,0.7619047619047619,0.7801455301455301,0.6571428571428571,0.8846153846153846,0.7540983606557377,0.5551216832011547,0.5,25,12,3,23,0.4126984126984127,0.5555555555555556,pooled_common,rich,tensorflow_mlp,W
2017,63,0.15441483375542464,0.460068067007181,0.8744897959183674,0.862687304964154,0.8602561620512553,0.7619047619047619,0.7642857142857142,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.5253646966785349,0.5,26,9,6,22,0.4444444444444444,0.49206349206349204,pooled_common,rich,tensorflow_mlp,W
2018,63,0.16307178495373478,0.48372940708486195,0.8519269776876268,0.8701434848960924,0.8676954352313637,0.7301587301587301,0.7297160243407708,0.7575757575757576,0.7352941176470589,0.746268656716418,0.45850296370911137,0.5,21,8,9,25,0.5396825396825397,0.5238095238095238,pooled_common,rich,tensorflow_mlp,W
2019,63,0.1413739145232144,0.41808460594533375,0.8820564516129032,0.8909854674129449,0.8891501748458166,0.7619047619047619,0.7615927419354839,0.7575757575757576,0.78125,0.7692307692307693,0.523713687421822,0.5,23,8,7,25,0.5079365079365079,0.5238095238095238,pooled_common,rich,tensorflow_mlp,W
2021,63,0.17216715558777962,0.506646680104969,0.8264033264033264,0.8841719614233063,0.8824462783692952,0.6825396825396826,0.6954261954261954,0.7931034482758621,0.6216216216216216,0.696969696969697,0.38606626269223143,0.5,20,6,14,23,0.5873015873015873,0.4603174603174603,pooled_common,rich,tensorflow_mlp,W
2016,130,0.18082069568684636,0.5454763298496695,0.8118787878787879,0.7393801691158111,0.7350911190383995,0.7153846153846154,0.7266666666666667,0.6285714285714286,0.8,0.704,0.4492674813975187,0.5,49,26,11,44,0.4230769230769231,0.5384615384615384,pooled_common,rich,torch_mlp,ALL
2017,130,0.1655091784011844,0.4931836499835204,0.8481824661439772,0.8364009837643116,0.8349114676477505,0.7461538461538462,0.7532668092183417,0.6794871794871795,0.8688524590163934,0.762589928057554,0.5159988863522073,0.5,44,25,8,53,0.46923076923076923,0.6,pooled_common,rich,torch_mlp,ALL
2018,130,0.18714507228829788,0.5694091760546914,0.7895857988165681,0.7945785411945805,0.7919991071179993,0.7076923076923077,0.7076923076923077,0.7076923076923077,0.7076923076923077,0.7076923076923077,0.4153846153846154,0.5,46,19,19,46,0.5,0.5,pooled_common,rich,torch_mlp,ALL
2019,130,0.153511385136528,0.44808663652427505,0.8560228082679971,0.8436865543910066,0.8422270514549632,0.7307692307692307,0.7321216440959848,0.696969696969697,0.7540983606557377,0.7244094488188977,0.4634182594820578,0.5,49,20,15,46,0.46923076923076923,0.5076923076923077,pooled_common,rich,torch_mlp,ALL
2021,129,0.2104028049607179,0.6035136542362802,0.7415458937198067,0.7945368683385666,0.7928497373429573,0.6356589147286822,0.6333333333333333,0.6571428571428571,0.6666666666666666,0.6618705035971223,0.2669893124793729,0.5,36,24,23,46,0.5348837209302325,0.5426356589147286,pooled_common,rich,torch_mlp,ALL
2016,67,0.19348615814659895,0.5758368016788853,0.7758620689655172,0.7121966646551273,0.6929332549536011,0.6567164179104478,0.6606170598911071,0.5882352941176471,0.6896551724137931,0.6349206349206349,0.31835819690336997,0.5,24,14,9,20,0.43283582089552236,0.5074626865671642,pooled_common,rich,torch_mlp,M
2017,67,0.17628603878605997,0.515521073258451,0.8146167557932265,0.8203017453316037,0.817157497250931,0.7313432835820896,0.7344028520499108,0.6595744680851063,0.9393939393939394,0.775,0.5121832704285856,0.5,18,16,2,31,0.4925373134328358,0.7014925373134329,pooled_common,rich,torch_mlp,M
2018,67,0.2041651275236852,0.6159867251802028,0.7437275985663082,0.7521104274711412,0.7472407504299173,0.6567164179104478,0.6536738351254481,0.6333333333333333,0.6129032258064516,0.6229508196721312,0.3081772201274083,0.5,25,11,12,19,0.4626865671641791,0.44776119402985076,pooled_common,rich,torch_mlp,M
2019,67,0.1639399507656766,0.4729435576806635,0.8312159709618875,0.8034455180988366,0.7999570337202082,0.7014925373134329,0.7000907441016334,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.39766346732081576,0.5,27,11,9,20,0.43283582089552236,0.4626865671641791,pooled_common,rich,torch_mlp,M
2021,66,0.24294827985891887,0.6849266815001971,0.6645220588235294,0.6919505599410244,0.6858178893866679,0.5757575757575758,0.5790441176470589,0.55,0.6875,0.6111111111111112,0.16169527510397522,0.5,16,18,10,22,0.48484848484848486,0.6060606060606061,pooled_common,rich,torch_mlp,M
2016,63,0.1673510768804428,0.5131882090154244,0.844074844074844,0.7786207405112013,0.7720159359614847,0.7777777777777778,0.7993762993762994,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.595664632839952,0.5,25,12,2,24,0.4126984126984127,0.5714285714285714,pooled_common,rich,torch_mlp,W
2017,63,0.1540480729125072,0.4694279776117689,0.8846938775510205,0.8701728853999419,0.8678022901966304,0.7619047619047619,0.7642857142857142,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.5253646966785349,0.5,26,9,6,22,0.4444444444444444,0.49206349206349204,pooled_common,rich,torch_mlp,W
2018,63,0.16904437862526683,0.5198743222227983,0.834685598377282,0.84358625183307,0.8398911943972898,0.7619047619047619,0.7591277890466531,0.7714285714285715,0.7941176470588235,0.782608695652174,0.5198396538549951,0.5,21,8,7,27,0.5396825396825397,0.5555555555555556,pooled_common,rich,torch_mlp,W
2019,63,0.1424206883563224,0.42165149815160785,0.8790322580645161,0.8859284536624814,0.8839516021013187,0.7619047619047619,0.7610887096774194,0.7428571428571429,0.8125,0.7761194029850746,0.5253646966785349,0.5,22,9,6,26,0.5079365079365079,0.5555555555555556,pooled_common,rich,torch_mlp,W
2021,63,0.176307545543555,0.518223816150272,0.8232848232848233,0.8849775375614146,0.8833712200352766,0.6984126984126984,0.7089397089397089,0.8,0.6486486486486487,0.7164179104477612,0.4119276267554407,0.5,20,6,13,24,0.5873015873015873,0.47619047619047616,pooled_common,rich,torch_mlp,W
2016,130,0.16980132883389892,0.5059762179794293,0.825939393939394,0.7611227320657786,0.7564067489613284,0.7230769230769231,0.730909090909091,0.6417910447761194,0.7818181818181819,0.7049180327868853,0.45653631338627465,0.5,51,24,12,43,0.4230769230769231,0.5153846153846153,pooled_common,rich,xgb_classifier,ALL
2017,130,0.1518430956484423,0.46034353632599434,0.8707531480161559,0.8511227860345187,0.849684187764554,0.7769230769230769,0.7841530054644809,0.7051282051282052,0.9016393442622951,0.7913669064748201,0.5789255798097935,0.5,46,23,6,55,0.46923076923076923,0.6,pooled_common,rich,xgb_classifier,ALL
2018,130,0.17746418708176337,0.5260427918338813,0.8139644970414203,0.8344521444548237,0.8330280996827923,0.7307692307692307,0.7307692307692308,0.7419354838709677,0.7076923076923077,0.7244094488188977,0.46203082772527304,0.5,49,16,19,46,0.5,0.47692307692307695,pooled_common,rich,xgb_classifier,ALL
2019,130,0.14519486883464178,0.4378191759338245,0.8738417676407698,0.8568407409319792,0.8553873102920677,0.7538461538461538,0.7538607745307674,0.7301587301587301,0.7540983606557377,0.7419354838709677,0.5069993274312645,0.5,52,17,15,46,0.46923076923076923,0.4846153846153846,pooled_common,rich,xgb_classifier,ALL
2021,129,0.18792690716295346,0.5522002757962649,0.7973429951690821,0.8289949807704697,0.8274607678211456,0.7054263565891473,0.7018115942028986,0.7123287671232876,0.7536231884057971,0.7323943661971831,0.4061821515903539,0.5,39,21,17,52,0.5348837209302325,0.5658914728682171,pooled_common,rich,xgb_classifier,ALL
2016,67,0.18354426199271712,0.5502898619488692,0.794010889292196,0.7239762993203372,0.7047390183334264,0.7014925373134329,0.7000907441016334,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.39766346732081576,0.5,27,11,9,20,0.43283582089552236,0.4626865671641791,pooled_common,rich,xgb_classifier,M
2017,67,0.16253263145741542,0.4804640713037103,0.85650623885918,0.8613514691240487,0.8591180132524336,0.746268656716418,0.749554367201426,0.6666666666666666,0.9696969696969697,0.7901234567901234,0.5535975754196573,0.5,18,16,1,32,0.4925373134328358,0.7164179104477612,pooled_common,rich,xgb_classifier,M
2018,67,0.1995695051399864,0.589898861446177,0.7526881720430108,0.766433437931323,0.7623480789388228,0.7014925373134329,0.6975806451612903,0.6896551724137931,0.6451612903225806,0.6666666666666666,0.39766346732081576,0.5,27,9,11,20,0.4626865671641791,0.43283582089552236,pooled_common,rich,xgb_classifier,M
2019,67,0.15510243980453348,0.46118089393584205,0.8511796733212341,0.809312763495881,0.8050642088988827,0.7164179104477612,0.7132486388384756,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.4249575712877051,0.5,28,10,9,20,0.43283582089552236,0.44776119402985076,pooled_common,rich,xgb_classifier,M
2021,66,0.21540183538764912,0.6220094686947061,0.7601102941176472,0.7692943717931964,0.7645236458345309,0.6818181818181818,0.6856617647058824,0.6341463414634146,0.8125,0.7123287671232876,0.38256477963467794,0.5,19,15,6,26,0.48484848484848486,0.6212121212121212,pooled_common,rich,xgb_classifier,M
2016,63,0.1551858284903938,0.458849009313517,0.8586278586278586,0.8226454738393215,0.819160134223997,0.746031746031746,0.7666320166320166,0.6388888888888888,0.8846153846153846,0.7419354838709677,0.5305138136230823,0.5,24,13,3,23,0.4126984126984127,0.5714285714285714,pooled_common,rich,xgb_classifier,W
2017,63,0.1404748591531851,0.43894550706397895,0.8948979591836735,0.8614418294539586,0.858533425523465,0.8095238095238095,0.8107142857142857,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.6182820774312703,0.5,28,7,5,23,0.4444444444444444,0.47619047619047616,pooled_common,rich,xgb_classifier,W
