Architecture,Universe,Model,ModelDisplay,EvaluationGender,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
separate_gender,rich,constrained_ensemble,Constrained ensemble,ALL,20,649,5,0.16979161034745416,0.16975830420088284,0.018965261855245233,0.19140729947224175,0.5068624584610615,0.829230008181282,0.8101457479067722,0.8097184087935072,0.7411402157164869,0.7419756844688826,0.716012084592145,0.7620578778135049,0.7383177570093458,0.4836294184176791,0.5,244,94,74,237,0.47919876733436056,0.5100154083204931,-0.15472574926986707,0.8505815211664287,0.03747878326085181,0.14799736038938205,0.0030570963780847562,0.08249518592712815,0.24956730871958996
pooled_common,rich,lgb_margin,LightGBM margin,ALL,9,649,5,0.16986964073043376,0.16983902669648923,0.01875072170688631,0.18973814876043238,0.508119447393176,0.8290492589280618,0.8151397276307002,0.8147376967282083,0.7473035439137135,0.7484065526360852,0.7194029850746269,0.77491961414791,0.7461300309597523,0.49664304791551855,0.5,244,94,70,241,0.47919876733436056,0.5161787365177196,-0.12700895119845057,0.8291304653007303,0.04269848435212374,0.1009584199387307,0.0027486929678110384,0.08216331440881597,0.24956730871958996
pooled_common,rich,ridge_margin,Ridge margin,ALL,7,649,5,0.17010933731855393,0.17007302568101018,0.019972686246894827,0.1936755900844411,0.5079854487851356,0.8282977225594095,0.8170064797527317,0.8166171655489973,0.7395993836671803,0.7404963945280543,0.713855421686747,0.7620578778135049,0.7371695178849145,0.4807047762398786,0.5,243,95,74,237,0.47919876733436056,0.5115562403697997,-0.12851267760063784,0.832243681718554,0.0565602490814761,0.11561904999129713,0.004611154746555251,0.08346894733521161,0.24956730871958996
separate_gender,rich,ridge_margin,Ridge margin,ALL,7,649,5,0.17062072088446056,0.17059633180733166,0.0188905123868466,0.1864492319411098,0.5103070625837007,0.827279818870222,0.8139832108855406,0.8135864158049828,0.7442218798151001,0.7448058372495672,0.7217125382262997,0.7588424437299035,0.7398119122257053,0.4892023078968627,0.5,247,91,75,236,0.47919876733436056,0.5038520801232665,-0.11996852345955819,0.8265519532018241,0.041375425909880026,0.1484322447041888,0.0034610456717814454,0.07986577085067918,0.24956730871958996
separate_gender,rich,xgb_margin,XGBoost margin,ALL,8,649,5,0.17071531536022377,0.17068486949504527,0.020958090467656756,0.19047468186105984,0.5135010173503551,0.8273178713445841,0.8100036974208902,0.8095836111212493,0.7611710323574731,0.7619770163054853,0.7363636363636363,0.7813504823151125,0.7581903276131046,0.5235756257416453,0.5,251,87,68,243,0.47919876733436056,0.5084745762711864,-0.10442760720600146,0.7958151965321951,0.03550345203636183,0.08825386128710289,0.0020361929496793205,0.08020356864610409,0.24956730871958996
separate_gender,rich,hist_classifier,Histogram boosting,ALL,4,649,5,0.17176638252091078,0.1717466493855933,0.01610190049822515,0.18749891146948516,0.5155776637174204,0.8297912821781237,0.8064391004095366,0.8058059867110534,0.7550077041602465,0.7560598565421717,0.7275449101796407,0.7813504823151125,0.7534883720930232,0.5118957547251503,0.5,247,91,68,243,0.47919876733436056,0.514637904468413,-0.14123842722177446,0.7410077693601355,0.05406174353444169,0.22367338285104776,0.006591683260570124,0.0824881484730568,0.24956730871958996
separate_gender,rich,lgb_margin,LightGBM margin,ALL,9,649,5,0.17238503708940728,0.1723471336805784,0.02095235787512251,0.19698434941935433,0.5177886560394256,0.8238836355334006,0.8052305945803576,0.8047819391791502,0.7503852080123267,0.7508514241138531,0.7292307692307692,0.7620578778135049,0.7452830188679245,0.5012690903577433,0.5,250,88,74,237,0.47919876733436056,0.5007704160246533,-0.10755227878642966,0.8119407336839973,0.046656903217742386,0.08134490605687883,0.002740979887861398,0.07850569025331045,0.24956730871958996
separate_gender,rich,tensorflow_mlp,TensorFlow MLP,ALL,11,649,5,0.1755218999859151,0.17547335472877368,0.022557419605933902,0.20702777187071505,0.5245874481772423,0.8205350177895319,0.7995448899970468,0.799077788741481,0.7288135593220338,0.730526646245172,0.6956521739130435,0.7717041800643086,0.7317073170731707,0.46157612097184597,0.5,233,105,71,240,0.47919876733436056,0.5315870570107858,-0.2048777422903636,0.7688898189544813,0.06292009798616877,0.13076043825310002,0.005965019836788431,0.07893793809021932,0.24956730871958996
pooled_common,rich,tensorflow_mlp,TensorFlow MLP,ALL,11,649,5,0.17681913691912388,0.17678920275010135,0.0178202398176683,0.1962464126147272,0.5218471677874875,0.8137807035902509,0.8026777154051914,0.8022241118657345,0.7072419106317411,0.7081470347609353,0.6816816816816816,0.729903536977492,0.7049689440993789,0.41607642630355257,0.5,232,106,84,227,0.47919876733436056,0.5130970724191063,-0.1669282518786052,0.8124523207062604,0.04529030624137063,0.15197737262799182,0.004984248803574707,0.07681781245314451,0.24956730871958996
separate_gender,rich,torch_mlp,PyTorch MLP,ALL,10,649,5,0.17702785154245446,0.17698506659368612,0.02375389932658359,0.20479528329313784,0.5464074202026813,0.817043703266805,0.7854270842175649,0.784710803425829,0.7318952234206472,0.7334852261268289,0.6997084548104956,0.7717041800643086,0.7339449541284404,0.46732624609354,0.5,235,103,71,240,0.47919876733436056,0.5285053929121726,-0.14405828012841798,0.6761530239563319,0.059219208002555375,0.14578161265036693,0.005182277585546145,0.07633037616062348,0.24956730871958996
