Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,504,504,-0.5530760426774698,0.5766790948262314,1.0,1.0,0.050087673888084217,0.6564791879501111,False,True,True,13.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,504,2,0.549116519884015,0.5770506441832945,1.0,1.0,0.11406232019197549,0.6532274507747856,False,True,True,6.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,504,504,0.5589591524386064,0.5597643121640623,1.0,1.0,0.08187759825480301,0.6483827794450512,False,True,True,14.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,504,364,0.5519911204424954,0.5547357904933765,1.0,1.0,0.022206188296895024,0.646822978402294,False,True,True,25.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
matchup__team1_seed,matchup_context,0.0,504,16,-0.5445471339298087,0.5583812559786422,1.0,1.0,0.03691611249057514,0.646346727834683,False,True,True,7.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.0,504,504,0.5583320683685707,0.5507924664694268,1.0,1.0,0.04932054809483488,0.6452406170226169,False,True,True,26.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__compact__half_pointsformean_first,compact_performance,0.0,504,466,0.534249371357817,0.5539748552470478,1.0,1.0,0.07338127106710968,0.6405075413746183,False,True,True,30.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,504,504,0.5220148173044319,0.5591153089335111,1.0,1.0,0.08689249356896622,0.6397429083523017,False,True,True,27.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__norm__rating__colley__pct,within_season_normalization,0.0,504,333,0.5318135498122429,0.5369029545504247,1.0,1.0,0.04600884487066503,0.6328720453480706,False,True,True,28.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,504,318,0.5292158171529956,0.5315308952595699,1.0,1.0,0.03306329606826608,0.6302397776555219,False,True,True,15.0,selected,rich_W_2021,rich_W_2021_inner_2018,tensorflow_mlp,Team1Win,True
